SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1284.30,1291.70,1265.00,1268.45,1268.45,1281.95,1235,7171,9157238.00,
500003,AEGIS LOGIS ,B ,Q,540.30,647.70,540.20,633.60,633.60,539.80,23234,306478,190630918.00,
500008,AMAR RAJA BA,A ,Q,866.00,868.15,861.90,863.50,864.00,868.55,640,5776,4990238.00,
500009,A.SARABHAI  ,B ,Q,3.50,4.00,3.40,3.84,3.80,3.60,56,25862,98796.00,
500010,HDFC        ,A ,Q,1325.00,1342.55,1317.20,1323.90,1323.90,1339.95,5063,50727,67297444.00,
500012,ANDHRA PETRO,B ,Q,10.23,10.49,9.81,10.44,10.49,10.32,151,51263,525153.00,
500013,ANSAL INFRAS,B ,Q,25.75,26.00,25.50,25.65,25.60,25.65,173,164434,4226459.00,
500014,APPLE FINANC,B ,Q,2.50,2.51,2.10,2.25,2.37,2.62,115,42429,96126.00,
500020,BOM DYEING  ,B ,Q,70.80,72.20,70.40,71.25,71.25,70.80,3070,278981,19859113.00,
500023,ASIANHOTNR  ,B ,Q,105.10,105.10,101.10,103.20,103.90,104.10,48,470,48105.00,
500024,ASSAMCO     ,B ,Q,4.35,4.35,4.19,4.21,4.21,4.32,408,181043,769496.00,
500027,ATUL LTD.   ,A ,Q,1186.10,1205.65,1176.00,1183.35,1178.00,1198.05,759,1548,1837212.00,
500028,ATV PROJECTS,T ,Q,2.61,2.61,2.40,2.60,2.43,2.49,66,13497,34753.00,
500029,AUTOLITE(I) ,B ,Q,30.85,30.85,28.40,28.70,29.85,29.25,24,490,14069.00,
500031,BAJAJ ELECT.,A ,Q,216.60,216.60,214.35,215.15,215.00,216.00,649,47788,10279876.00,
500032,BAJAJHIND   ,B ,Q,16.15,16.20,15.95,16.05,16.05,16.20,838,357152,5742080.00,
500033,FORCE MOTR  ,B ,Q,1429.00,1458.00,1415.00,1420.00,1420.00,1424.50,6120,80740,115832127.00,
500034,BAJFINANCE  ,A ,Q,4040.00,4106.75,4010.00,4039.35,4040.00,4008.40,1345,4626,18735261.00,
500038,BALRAM.CHINI,A ,Q,54.50,55.35,54.35,54.55,54.55,54.90,974,641810,35287693.00,
500039,BANCO PROD. ,B ,Q,115.00,115.30,110.60,112.60,112.00,112.20,547,13333,1516620.00,
500040,CENTURY TEXT,A ,Q,577.50,586.35,572.00,578.10,578.10,577.65,7505,181699,105582516.00,
500041,BANNARI AMAN,B ,Q,975.00,975.00,950.00,951.25,950.00,990.00,27,164,159055.00,
500042,BASF INDIA  ,B ,Q,1183.00,1183.00,1130.00,1146.20,1147.00,1179.80,508,2394,2776278.00,
500043,BATA INDIA  ,A ,Q,1194.00,1202.00,1182.55,1190.65,1183.00,1180.50,1503,10136,12092369.00,
500048,BEML LTD    ,A ,Q,1111.05,1134.25,1092.05,1106.55,1106.55,1101.70,15144,172413,192245303.00,
500049,BHARAT ELECT,A ,Q,3381.00,3390.00,3284.00,3295.85,3295.85,3360.00,4898,24403,81281456.00,
500052,BHANSALI ENG,B ,Q,22.35,22.35,20.70,21.50,21.50,21.30,179,83769,1765992.00,
500055,BHUSH STEEL ,A ,Q,83.05,87.20,80.40,81.05,81.05,81.30,4444,231333,19301700.00,
500057,ABCIL       ,B ,Q,215.90,220.00,215.90,218.10,217.00,221.00,116,1139,248719.00,
500058,BIHAR SPONGE,T ,Q,2.50,2.71,2.50,2.68,2.71,2.61,27,1236,3166.00,
500059,BINANI IND. ,B ,Q,98.10,99.50,97.10,97.70,97.20,98.40,267,10764,1055696.00,
500060,BIRLA ERIC. ,T ,Q,54.50,54.70,53.50,54.60,54.60,54.50,111,8798,473668.00,
500067,BLUE STAR   ,B ,Q,274.00,319.90,274.00,312.15,312.60,319.15,507,4604,1444601.00,
500068,DISA INDIA  ,B ,Q,5151.00,5250.00,5011.00,5113.00,5190.00,5108.00,40,67,344770.00,
500069,BNK CAPITAL ,B ,Q,39.50,39.80,37.10,37.80,37.15,38.85,28,3400,132265.00,
500074,BPL LTD.    ,B ,Q,34.50,34.70,33.00,33.35,33.35,33.75,1178,69716,2356011.00,
500078,CAMPH.& ALL ,B ,Q,264.00,271.00,260.00,266.10,260.00,264.80,135,7420,1970206.00,
500083,CENTURY EXT ,B ,Q,1.40,1.44,1.40,1.41,1.44,1.40,23,7134,10156.00,
500084,CESC LTD.   ,A ,Q,602.00,605.50,596.30,598.20,598.20,598.25,1765,26206,15733363.00,
500085,CHAMBAL FERT,B ,Q,66.70,67.90,66.30,67.70,67.90,66.45,1625,76841,5176295.00,
500086,EXIDE IND.  ,A ,Q,186.80,187.60,182.70,183.75,183.75,186.80,3988,153010,28300441.00,
500087,CIPLA LTD.  ,A ,Q,712.00,720.35,708.15,712.00,712.00,710.05,6587,173201,123536476.00,
500089,DIC INDIA   ,B ,Q,346.20,346.40,342.10,343.90,343.90,346.90,228,3056,1053912.00,
500092,CRISIL LTD  ,A ,Q,2030.15,2037.85,1998.30,2006.15,2021.00,2038.00,551,1107,2227768.00,
500093,CROMPT.GREAV,A ,Q,175.80,175.80,169.85,171.90,171.90,173.85,6071,346587,59624568.00,
500096,DABUR (I)   ,A ,Q,286.90,286.90,280.70,283.00,283.00,282.70,4190,150880,42787566.00,
500097,DALMIASUG   ,B ,Q,19.55,19.55,18.50,18.55,18.55,19.80,54,5230,97631.00,
500101,ARVIND Ltd  ,A ,Q,297.10,299.30,292.50,293.35,293.35,296.45,3570,115486,34130382.00,
500102,BALARPUR IND,B ,Q,14.55,14.55,14.10,14.18,14.15,14.28,416,484429,6872288.00,
500103,BHEL        ,A ,Q,265.00,266.90,257.00,258.30,258.30,264.10,6153,238419,62038784.00,
500104,HIND.PETRO  ,A ,Q,638.00,663.90,634.75,651.75,651.75,633.80,8775,159602,104088668.00,
500106,IFCI LTD    ,A ,Q,35.75,35.85,35.20,35.50,35.50,35.45,2514,649674,23082628.00,
500108,MAHA.TELE   ,B ,Q,20.45,21.55,19.70,21.15,21.15,20.05,6466,1636163,34058695.00,
500109,MRPL        ,A ,Q,64.60,66.90,63.65,66.00,66.00,64.25,2614,103788,6810637.00,
500110,CHENNAI PET.,B ,Q,77.25,79.50,76.55,77.45,76.60,76.75,1870,106121,8268052.00,
500111,REL.CAP.    ,A ,Q,471.10,476.50,465.00,471.25,471.25,468.00,19625,569139,268604683.00,
500112,STATE BANK  ,A ,Q,284.25,288.20,282.10,286.60,286.60,282.80,29371,1610191,460246200.00,
500113,STEEL AUTH. ,A ,Q,68.95,68.95,67.60,68.15,68.15,68.80,2427,298303,20311473.00,
500114,TITAN       ,A ,Q,404.00,406.75,399.35,401.70,401.70,404.25,1691,39740,15998516.00,
500116,IDBI BANK L ,A ,Q,76.00,78.50,75.15,77.40,77.40,75.60,6219,641246,49619212.00,
500117,DCW LTD.    ,B ,Q,17.40,18.25,17.35,18.10,18.10,17.50,513,128584,2304140.00,
500119,DHAMPUR SUGA,B ,Q,36.65,37.80,36.60,37.55,37.55,36.50,178,15653,583667.00,
500120,DIAMINES&CHM,B ,Q,28.40,30.70,28.40,29.85,29.85,30.00,24,3513,103303.00,
500123,ELANTAS     ,B ,Q,1170.00,1193.25,1162.00,1178.75,1172.00,1180.25,510,2849,3367824.00,
500124,DR.REDDY'S  ,A ,Q,3447.90,3447.90,3403.80,3426.90,3426.00,3435.30,2070,13510,46291994.00,
500125,E.I.D.PAR   ,A ,Q,178.60,179.35,176.00,178.05,178.05,177.20,812,27472,4879577.00,
500126,MERCK LTD   ,B ,Q,906.25,964.00,893.00,925.25,925.25,901.25,5033,42206,39493263.00,
500128,ELEC.CASTING,B ,Q,19.45,19.50,18.50,18.75,18.75,19.40,1129,155022,2935634.00,
500132,EMPEE SUGARS,B ,Q,2.99,3.06,2.88,2.98,3.00,3.00,36,16188,48077.00,
500133,ESAB INDIA  ,B ,Q,671.25,674.75,657.00,659.00,657.00,687.00,104,657,437418.00,
500134,ESSAR OIL   ,A ,Q,104.00,114.00,103.90,107.60,107.60,102.70,8915,481769,52912021.00,
