SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1358.90,1359.70,1315.00,1324.15,1324.15,1357.40,1303,6551,8715398.00,
500003,AEGIS LOGIS ,B ,Q,739.75,740.25,680.00,696.75,696.75,735.25,5282,42506,29975612.00,
500008,AMAR RAJA BA,A ,Q,870.00,870.00,833.00,850.50,850.00,863.20,1299,10094,8523863.00,
500010,HDFC        ,A ,Q,1300.00,1305.00,1255.10,1267.45,1267.45,1302.50,9002,1911963,2476889931.00,
500012,ANDHRA PETRO,B ,Q,15.40,15.47,13.50,13.83,13.83,14.64,680,208659,3025941.00,
500013,ANSAL INFRAS,B ,Q,25.80,25.80,24.90,25.15,25.15,25.60,343,27322,690189.00,
500014,APPLE FINANC,B ,Q,2.11,2.29,2.05,2.12,2.22,2.25,41,8500,17854.00,
500020,BOM DYEING  ,B ,Q,72.40,72.45,69.05,69.70,69.70,72.15,2895,265743,18799832.00,
500023,ASIANHOTNR  ,B ,Q,105.50,112.50,105.00,105.10,105.10,108.90,12,1002,108820.00,
500024,ASSAMCO     ,B ,Q,4.26,4.30,4.15,4.18,4.19,4.28,262,141869,597631.00,
500027,ATUL LTD.   ,A ,Q,1303.95,1310.00,1267.80,1272.70,1273.95,1306.95,649,5496,7084942.00,
500028,ATV PROJECTS,T ,Q,3.47,3.47,3.47,3.47,3.47,3.31,18,5450,18911.00,
500029,AUTOLITE(I) ,B ,Q,40.00,40.00,37.30,37.80,38.00,41.40,142,8984,343870.00,
500030,AUTORID.FIN ,T ,Q,0.59,0.59,0.58,0.59,0.59,0.57,10,1650,960.00,
500031,BAJAJ ELECT.,A ,Q,235.30,237.35,227.15,229.80,229.50,235.20,1726,38215,8919009.00,
500032,BAJAJHIND   ,B ,Q,16.32,16.71,16.03,16.10,16.10,16.32,1423,289196,4738372.00,
500033,FORCE MOTR  ,B ,Q,1664.50,1677.75,1535.00,1583.25,1583.25,1664.50,7698,84169,135548232.00,
500034,BAJFINANCE  ,A ,Q,4505.65,4596.35,4440.00,4558.95,4550.05,4517.35,612,1834,8306562.00,
500038,BALRAM.CHINI,A ,Q,49.50,50.05,47.55,48.35,48.35,49.25,884,63914,3141682.00,
500039,BANCO PROD. ,B ,Q,146.00,146.00,137.00,139.20,139.20,145.20,1956,35627,5025366.00,
500040,CENTURY TEXT,A ,Q,710.00,716.40,676.00,683.25,683.25,708.35,20170,458957,319364693.00,
500041,BANNARI AMAN,B ,Q,853.00,853.00,841.00,845.00,845.00,860.00,18,101,85663.00,
500042,BASF INDIA  ,B ,Q,1241.00,1246.00,1183.20,1197.15,1197.15,1248.95,1030,5277,6390729.00,
500043,BATA INDIA  ,A ,Q,1097.00,1100.70,1050.10,1059.05,1061.00,1105.00,2072,19725,21000032.00,
500046,BEST&CROMPT.,Z ,Q,3.97,3.97,3.97,3.97,3.97,3.79,2,2000,7940.00,
500048,BEML LTD    ,A ,Q,1095.00,1095.00,1056.60,1067.70,1067.70,1090.15,5280,34659,37155777.00,
500049,BHARAT ELECT,A ,Q,3226.00,3285.00,3101.05,3124.65,3124.65,3219.65,7711,31821,101390211.00,
500051,BHAG GAS    ,Z ,Q,1.12,1.12,1.02,1.02,1.02,1.07,22,2600,2762.00,
500052,BHANSALI ENG,B ,Q,18.90,19.20,18.40,18.40,19.00,19.30,42,6318,116380.00,
500055,BHUSH STEEL ,A ,Q,71.55,73.90,68.50,69.20,69.20,70.15,3622,210075,14956016.00,
500057,ABCIL       ,B ,Q,215.40,221.00,214.80,215.10,215.10,220.20,43,551,119283.00,
500058,BIHAR SPONGE,T ,Q,2.86,3.14,2.86,3.08,3.08,3.01,43,8116,23856.00,
500059,BINANI IND. ,B ,Q,105.00,106.40,101.00,101.95,102.25,106.25,670,21621,2236664.00,
500060,BIRLA ERIC. ,T ,Q,65.00,65.50,62.05,62.55,62.05,64.40,149,15090,952414.00,
500067,BLUE STAR   ,B ,Q,338.00,339.90,322.00,324.60,327.40,333.05,785,182918,59513191.00,
500068,DISA INDIA  ,B ,Q,5220.00,5220.00,5077.00,5088.00,5085.00,5200.00,24,68,348555.00,
500069,BNK CAPITAL ,B ,Q,38.70,38.70,38.60,38.60,38.60,37.45,4,2,77.00,
500074,BPL LTD.    ,B ,Q,32.75,32.80,31.20,31.70,31.60,32.55,482,38372,1226999.00,
500078,CAMPH.& ALL ,B ,Q,282.00,283.00,262.20,265.40,263.00,281.00,142,5173,1408576.00,
500083,CENTURY EXT ,B ,Q,1.50,1.50,1.40,1.40,1.40,1.57,24,18865,27254.00,
500084,CESC LTD.   ,A ,Q,570.00,570.00,539.50,543.50,543.50,573.25,4061,53536,29473263.00,
500085,CHAMBAL FERT,B ,Q,72.40,72.40,69.15,69.70,69.70,70.35,979,48943,3428860.00,
500086,EXIDE IND.  ,A ,Q,187.90,188.50,179.25,180.90,180.10,187.95,1947,105600,19315305.00,
500087,CIPLA LTD.  ,A ,Q,681.00,684.00,657.55,659.70,659.70,680.30,6952,127217,85003935.00,
500089,DIC INDIA   ,B ,Q,383.00,390.90,375.10,377.60,375.10,384.00,88,798,309028.00,
500092,CRISIL LTD  ,A ,Q,2135.20,2139.00,2045.00,2059.65,2069.75,2181.40,1713,4881,10138218.00,
500093,CROMPT.GREAV,A ,Q,174.00,176.20,169.15,172.50,172.50,173.40,4292,183921,31867510.00,
500096,DABUR (I)   ,A ,Q,275.00,275.00,266.45,268.80,268.80,273.05,2854,44616,11995190.00,
500097,DALMIASUG   ,B ,Q,17.85,17.85,17.85,17.85,17.85,17.65,2,300,5355.00,
500101,ARVIND Ltd  ,A ,Q,275.40,275.40,259.15,262.55,262.55,274.50,7501,342499,90642235.00,
500102,BALARPUR IND,B ,Q,14.79,14.97,14.52,14.60,14.60,14.79,533,194292,2873542.00,
500103,BHEL        ,A ,Q,234.85,235.90,225.30,229.65,229.65,234.85,5334,188562,43575111.00,
500104,HIND.PETRO  ,A ,Q,636.70,642.50,627.50,634.35,634.35,634.30,5822,70028,44547721.00,
500106,IFCI LTD    ,A ,Q,35.35,35.50,33.95,34.10,34.10,35.40,1684,401928,13887350.00,
500108,MAHA.TELE   ,B ,Q,20.10,20.15,18.80,19.35,19.35,20.10,1710,238690,4636770.00,
500109,MRPL        ,A ,Q,75.00,76.20,74.00,74.50,74.50,74.40,4785,503195,37741201.00,
500110,CHENNAI PET.,B ,Q,77.45,85.60,77.15,79.65,79.65,77.35,8066,412376,33769457.00,
500111,REL.CAP.    ,A ,Q,448.50,448.50,426.50,428.80,428.80,446.75,14351,445237,193251867.00,
500112,STATE BANK  ,A ,Q,290.95,293.00,284.75,287.45,287.45,291.05,21628,1079809,312790794.00,
500113,STEEL AUTH. ,A ,Q,77.65,77.90,72.70,73.70,73.70,77.20,3699,350948,26302844.00,
500114,TITAN       ,A ,Q,397.50,403.00,392.50,394.65,394.65,394.65,3402,79800,31701146.00,
500116,IDBI BANK L ,A ,Q,82.70,84.05,79.00,80.10,80.10,81.80,9667,1039579,84810719.00,
500117,DCW LTD.    ,B ,Q,18.75,19.45,18.25,18.45,18.45,19.10,869,194129,3626833.00,
500119,DHAMPUR SUGA,B ,Q,37.75,37.75,36.55,36.95,36.95,36.90,143,6441,239931.00,
500120,DIAMINES&CHM,B ,Q,30.00,30.05,30.00,30.00,30.00,31.75,23,1624,48720.00,
500123,ELANTAS     ,B ,Q,1216.25,1229.00,1181.25,1196.00,1216.00,1231.50,243,1501,1811555.00,
500124,DR.REDDY'S  ,A ,Q,3651.10,3712.45,3541.95,3562.10,3562.10,3651.15,3862,449831,1654952182.00,
500125,E.I.D.PAR   ,A ,Q,170.75,172.40,167.35,167.90,167.65,170.85,419,6428,1086197.00,
500126,MERCK LTD   ,B ,Q,915.25,918.00,878.25,881.75,881.75,908.00,687,4369,3891525.00,
500128,ELEC.CASTING,B ,Q,18.30,18.70,17.80,17.85,17.90,18.15,1550,520335,9511478.00,
500132,EMPEE SUGARS,B ,Q,3.20,3.69,3.20,3.23,3.23,3.43,12,530,1713.00,
500133,ESAB INDIA  ,B ,Q,670.00,677.00,660.00,662.75,662.75,676.25,29,69,45884.00,
500134,ESSAR OIL   ,A ,Q,108.60,109.50,105.55,106.70,106.70,107.95,1059,41062,4405201.00,
500135,ESSEL PROP  ,B ,Q,129.60,129.70,124.10,125.20,125.20,130.80,848,18864,2394110.00,
500136,ESTER INDUS.,B ,Q,18.65,19.05,18.65,18.85,18.85,19.05,20,4175,78943.00,
500139,FEDDER.LLYOD,B ,Q,80.05,80.05,75.50,78.00,78.00,79.60,878,38923,3022115.00,
