SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1385.00,1410.00,1381.45,1399.85,1399.85,1377.70,3133,22944,32063104.00,
500003,AEGIS LOGIS ,B ,Q,694.00,719.25,685.25,701.75,701.75,696.50,1723,11719,8210532.00,
500008,AMAR RAJA BA,A ,Q,805.00,838.50,800.00,824.40,824.40,800.85,2103,16144,13195796.00,
500009,A.SARABHAI  ,B ,Q,5.00,5.00,4.82,5.00,5.00,4.85,21,1567,7659.00,
500010,HDFC        ,A ,Q,1189.00,1200.60,1177.00,1179.70,1179.70,1202.30,13476,525521,624162647.00,
500012,ANDHRA PETRO,B ,Q,12.50,13.24,12.50,12.99,13.10,12.70,164,41026,533029.00,
500013,ANSAL INFRAS,B ,Q,25.35,25.40,24.10,24.15,24.10,24.85,246,21081,517403.00,
500014,APPLE FINANC,B ,Q,1.77,1.94,1.77,1.82,1.80,1.76,95,17570,31917.00,
500020,BOM DYEING  ,B ,Q,66.50,67.50,66.35,67.15,67.15,66.40,2194,252099,16873505.00,
500023,ASIANHOTNR  ,B ,Q,107.90,107.90,99.20,101.70,100.00,104.30,10,160,16272.00,
500024,ASSAMCO     ,B ,Q,4.13,4.17,4.10,4.13,4.14,4.15,78,38645,159690.00,
500027,ATUL LTD.   ,A ,Q,1156.30,1175.70,1150.00,1167.55,1171.40,1163.95,355,5663,6603918.00,
500028,ATV PROJECTS,T ,Q,3.25,3.41,3.25,3.40,3.41,3.25,18,5076,17113.00,
500029,AUTOLITE(I) ,B ,Q,38.00,38.00,36.00,36.35,36.35,37.05,77,2953,108784.00,
500030,AUTORID.FIN ,T ,Q,0.79,0.79,0.79,0.79,0.79,0.76,4,100,79.00,
500031,BAJAJ ELECT.,A ,Q,235.60,239.30,233.00,234.90,235.15,235.25,1664,35819,8430228.00,
500032,BAJAJHIND   ,B ,Q,16.40,16.55,16.00,16.15,16.15,16.30,1028,239866,3878807.00,
500033,FORCE MOTR  ,B ,Q,1680.00,1740.00,1660.00,1720.75,1720.75,1678.00,11735,148985,254989396.00,
500034,BAJFINANCE  ,A ,Q,4344.95,4394.95,4249.00,4280.00,4249.00,4205.85,1072,2747,11895647.00,
500038,BALRAM.CHINI,A ,Q,44.90,45.10,44.30,44.55,44.40,44.95,482,42179,1882682.00,
500039,BANCO PROD. ,B ,Q,124.90,128.00,123.80,125.50,126.00,125.10,191,5368,671480.00,
500040,CENTURY TEXT,A ,Q,740.00,744.15,698.20,707.40,707.40,746.50,38862,768173,551730951.00,
500041,BANNARI AMAN,B ,Q,863.00,863.00,863.00,863.00,863.00,883.00,2,10,8630.00,
500042,BASF INDIA  ,B ,Q,1138.00,1158.00,1125.00,1137.25,1137.25,1144.35,789,4368,5000481.00,
500043,BATA INDIA  ,A ,Q,1036.00,1068.85,1034.40,1063.30,1061.55,1035.85,2762,27562,28960916.00,
500048,BEML LTD    ,A ,Q,1009.00,1050.00,993.60,1024.70,1024.70,1000.15,8831,80419,82469714.00,
500049,BHARAT ELECT,A ,Q,3136.50,3364.45,3104.40,3265.65,3265.65,3134.75,12912,53480,175590355.00,
500052,BHANSALI ENG,B ,Q,17.55,19.25,17.55,19.25,19.25,18.10,14,2254,41513.00,
500055,BHUSH STEEL ,A ,Q,63.00,63.80,62.60,63.00,63.00,62.85,980,49704,3142615.00,
500057,ABCIL       ,B ,Q,214.00,214.00,212.50,214.00,214.00,215.50,10,655,140147.00,
500058,BIHAR SPONGE,T ,Q,2.86,3.00,2.86,2.96,3.00,2.90,16,2571,7492.00,
500059,BINANI IND. ,B ,Q,96.15,96.50,94.80,94.95,94.95,95.15,247,5233,499855.00,
500060,BIRLA ERIC. ,T ,Q,63.00,63.00,62.50,63.00,63.00,63.40,16,1041,65146.00,
500067,BLUE STAR   ,B ,Q,306.50,309.00,305.55,307.10,307.10,306.60,272,3034,933425.00,
500068,DISA INDIA  ,B ,Q,5000.00,5000.00,5000.00,5000.00,5000.00,5078.00,2,1,5000.00,
500069,BNK CAPITAL ,B ,Q,33.30,33.30,33.25,33.25,33.25,33.00,4,100,3326.00,
500074,BPL LTD.    ,B ,Q,30.50,30.85,29.80,30.05,30.05,30.75,744,37306,1131848.00,
500078,CAMPH.& ALL ,B ,Q,258.60,268.00,258.60,262.40,261.30,268.10,54,978,258850.00,
500083,CENTURY EXT ,B ,Q,1.42,1.45,1.41,1.44,1.44,1.44,18,5049,7228.00,
500084,CESC LTD.   ,A ,Q,549.00,549.10,535.70,542.15,542.00,547.95,2588,28319,15341047.00,
500085,CHAMBAL FERT,B ,Q,64.90,65.50,64.40,64.75,64.75,65.85,918,49520,3211977.00,
500086,EXIDE IND.  ,A ,Q,162.70,164.30,161.40,162.10,162.10,162.20,3711,183445,29899280.00,
500087,CIPLA LTD.  ,A ,Q,675.00,676.00,657.00,662.50,662.50,674.00,14387,280677,185814237.00,
500089,DIC INDIA   ,B ,Q,411.50,415.00,405.10,408.50,407.00,408.60,161,1658,680414.00,
500092,CRISIL LTD  ,A ,Q,1988.30,2018.05,1982.00,1999.75,1999.75,2003.80,732,3148,6311473.00,
500093,CROMPT.GREAV,A ,Q,170.00,171.65,168.95,170.35,170.35,169.95,3097,1179101,200862163.00,
500096,DABUR (I)   ,A ,Q,264.00,266.85,261.50,264.00,264.00,261.40,4466,129209,34170726.00,
500097,DALMIASUG   ,B ,Q,18.70,18.70,18.55,18.65,18.55,19.00,4,600,11175.00,
500101,ARVIND Ltd  ,A ,Q,273.00,274.00,268.00,270.60,270.60,272.30,4111,133119,36100093.00,
500102,BALARPUR IND,B ,Q,14.00,14.24,13.93,13.97,14.00,13.93,337,90732,1275511.00,
500103,BHEL        ,A ,Q,244.00,248.40,242.65,244.75,244.75,245.00,7583,268731,65870350.00,
500104,HIND.PETRO  ,A ,Q,629.00,636.25,622.25,628.80,628.80,630.50,5190,91436,57514645.00,
500106,IFCI LTD    ,A ,Q,34.30,34.35,33.85,34.05,34.05,34.10,1082,244835,8350516.00,
500108,MAHA.TELE   ,B ,Q,18.50,19.00,18.30,18.50,18.50,18.40,1835,257878,4814156.00,
500109,MRPL        ,A ,Q,70.80,71.75,70.05,70.65,70.65,70.20,549,45523,3226359.00,
500110,CHENNAI PET.,B ,Q,92.50,92.80,90.15,90.75,90.80,92.55,1553,63916,5827828.00,
