SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1380.00,1442.70,1380.00,1419.80,1419.80,1375.65,4826,29140,41483740.00,
500003,AEGIS LOGIS ,B ,Q,418.00,423.00,409.10,412.40,409.50,414.30,457,7798,3255468.00,
500008,AMAR RAJA BA,A ,Q,885.00,890.00,876.20,877.55,877.55,876.95,767,8462,7461812.00,
500009,A.SARABHAI  ,B ,Q,4.35,4.35,4.00,4.09,4.08,3.77,102,12136,50111.00,
500010,HDFC        ,A ,Q,1310.00,1348.00,1310.00,1341.00,1341.00,1309.25,10622,187565,251338142.00,
500012,ANDHRA PETRO,B ,Q,11.10,11.40,10.77,10.82,10.82,11.28,153,41683,465271.00,
500013,ANSAL INFRAS,B ,Q,29.10,29.50,28.25,28.35,28.35,28.90,203,9280,266648.00,
500014,APPLE FINANC,B ,Q,2.30,2.85,2.30,2.61,2.61,2.68,32,5598,14565.00,
500020,BOM DYEING  ,B ,Q,76.20,76.80,73.60,73.95,73.95,75.55,3779,404082,30393472.00,
500023,ASIANHOTNR  ,B ,Q,117.80,119.20,108.00,108.20,108.20,112.00,101,2345,256264.00,
500024,ASSAMCO     ,B ,Q,5.06,5.12,4.95,5.01,4.95,4.96,558,249599,1252515.00,
500027,ATUL LTD.   ,A ,Q,1287.20,1343.95,1287.20,1312.50,1312.50,1295.65,1062,4889,6408365.00,
500028,ATV PROJECTS,T ,Q,2.83,3.04,2.83,2.88,2.86,2.90,36,6385,18719.00,
500029,AUTOLITE(I) ,B ,Q,32.00,32.00,31.50,31.50,31.50,31.75,22,2160,68547.00,
500030,AUTORID.FIN ,T ,Q,0.93,0.93,0.93,0.93,0.93,0.89,3,100,93.00,
500031,BAJAJ ELECT.,A ,Q,217.40,217.40,211.20,212.60,212.60,216.00,3964,1214669,261242481.00,
500032,BAJAJHIND.LT,B ,Q,18.25,18.50,17.65,17.75,17.75,18.15,1919,643867,11626363.00,
500033,FORCE MOTR  ,B ,Q,1370.00,1403.00,1353.00,1363.50,1363.50,1363.75,7698,87585,120649453.00,
500034,BAJFINANCE  ,A ,Q,4139.00,4180.40,4060.45,4068.70,4068.70,4105.20,725,2679,10938157.00,
500038,BALRAM.CHINI,A ,Q,59.35,60.50,58.00,60.00,60.05,58.65,2751,90348,5396935.00,
500039,BANCO PROD. ,B ,Q,133.00,135.20,130.40,130.60,130.60,133.40,130,1994,262206.00,
500040,CENTURY TEXT,A ,Q,492.00,499.15,480.60,482.15,482.15,491.10,5667,116373,56707158.00,
500041,BANNARI AMAN,B ,Q,1229.75,1230.00,1150.00,1151.50,1150.00,1153.50,32,142,164409.00,
500042,BASF INDIA  ,B ,Q,1147.05,1168.90,1139.00,1150.65,1150.65,1148.90,720,2837,3265733.00,
500043,BATA INDIA  ,A ,Q,1260.00,1264.50,1241.00,1244.85,1244.85,1246.40,1659,13355,16692612.00,
500048,BEML LTD    ,A ,Q,993.05,998.60,975.15,980.20,980.20,985.10,5389,59064,58249304.00,
500049,BHARAT ELECT,A ,Q,3731.10,3787.75,3691.00,3706.40,3706.40,3693.75,7261,34168,127530474.00,
500051,BHAG GAS    ,Z ,Q,1.27,1.27,1.27,1.27,1.27,1.33,3,101,128.00,
500052,BHANSALI ENG,B ,Q,17.70,18.40,17.50,17.50,17.50,18.00,64,36300,651000.00,
500055,BHUSH STEEL ,A ,Q,89.00,90.20,87.20,87.65,87.65,88.70,1003,40823,3617407.00,
500057,ABCIL       ,B ,Q,219.30,222.70,219.00,220.00,219.80,219.60,201,10112,2241389.00,
500058,BIHAR SPONGE,T ,Q,2.75,2.89,2.75,2.89,2.89,2.89,14,505,1417.00,
500059,BINANI IND. ,B ,Q,103.50,105.00,102.20,103.00,102.20,103.60,384,7361,763059.00,
500060,BIRLA ERIC. ,T ,Q,60.10,61.90,60.10,60.45,61.00,60.50,56,7001,428515.00,
500067,BLUE STAR   ,B ,Q,307.80,308.00,304.35,306.65,306.65,304.90,405,4204,1287971.00,
500068,DISA INDIA  ,B ,Q,5270.00,5350.00,5225.00,5303.00,5300.00,5360.00,106,186,986039.00,
500069,BNK CAPITAL ,B ,Q,36.50,36.60,36.50,36.60,36.60,37.00,6,280,10240.00,
500074,BPL LTD.    ,B ,Q,38.25,38.90,36.50,36.70,36.70,37.10,2172,161489,6090243.00,
500078,CAMPH.& ALL ,B ,Q,259.00,272.00,256.20,257.20,256.20,258.80,130,3090,803050.00,
500083,CENTURY EXT ,B ,Q,1.73,1.76,1.71,1.71,1.71,1.74,10,3070,5286.00,
500084,CESC LTD.   ,A ,Q,588.00,593.05,570.00,572.50,572.50,586.95,3692,61799,35838422.00,
500085,CHAMBAL FERT,B ,Q,67.00,68.40,65.10,65.45,65.45,66.25,2250,109796,7294191.00,
500086,EXIDE IND.  ,A ,Q,182.50,183.20,176.85,177.95,177.95,182.20,2987,122234,21966765.00,
500087,CIPLA LTD.  ,A ,Q,678.00,684.90,671.75,676.20,676.20,677.00,3303,91328,62034869.00,
500089,DIC INDIA   ,B ,Q,350.00,357.00,346.10,347.90,347.90,345.80,209,628,219334.00,
500092,CRISIL LTD  ,A ,Q,2022.95,2089.00,2022.95,2081.45,2081.45,2021.20,665,1734,3585646.00,
500093,CROMPT.GREAV,A ,Q,175.50,177.10,173.20,174.10,174.10,174.85,3773,276855,48525732.00,
500096,DABUR (I)   ,A ,Q,270.40,271.00,263.05,264.35,263.10,268.20,1784,57159,15207059.00,
500097,DALMIASUG   ,B ,Q,21.65,21.80,21.30,21.75,21.75,21.25,18,134,2874.00,
500101,ARVIND Ltd  ,A ,Q,302.35,305.30,296.00,297.10,297.10,301.80,4715,169184,50847732.00,
500102,BALARPUR IND,B ,Q,15.00,15.00,14.65,14.70,14.70,14.80,397,135051,2003748.00,
500103,BHEL        ,A ,Q,278.50,281.65,271.60,274.05,274.05,277.70,8204,424624,118195365.00,
500104,HIND.PETRO  ,A ,Q,608.00,620.05,602.80,613.45,613.45,605.95,10336,213183,130986985.00,
500106,IFCI LTD    ,A ,Q,37.45,38.20,37.35,37.70,37.70,37.20,2472,670344,25285056.00,
500108,MAHA.TELE   ,B ,Q,29.30,30.15,28.80,29.00,29.00,29.05,4653,728924,21431306.00,
500109,MRPL        ,A ,Q,65.00,65.85,62.50,63.25,63.25,65.00,2926,130118,8353230.00,
500110,CHENNAI PET.,B ,Q,78.10,79.20,75.55,76.25,76.25,77.70,1335,53480,4153030.00,
500111,REL.CAP.    ,A ,Q,447.00,450.95,444.10,447.05,447.05,443.90,11127,310960,139195162.00,
500112,STATE BANK  ,A ,Q,298.00,300.45,295.00,295.55,295.55,296.15,26949,1227160,365385086.00,
500113,STEEL AUTH. ,A ,Q,71.00,71.60,69.90,70.00,70.00,70.75,2688,294460,20784217.00,
500114,TITAN       ,A ,Q,423.40,427.75,418.65,422.20,422.20,422.40,2674,62577,26465280.00,
500116,IDBI BANK L ,A ,Q,74.75,75.20,73.45,74.80,74.80,74.15,3555,394360,29284889.00,
500117,DCW LTD.    ,B ,Q,18.40,18.80,18.05,18.20,18.20,18.05,1280,185383,3429725.00,
500119,DHAMPUR SUGA,B ,Q,41.00,42.40,39.05,40.40,40.65,41.15,317,18198,746876.00,
500120,DIAMINES&CHM,B ,Q,28.55,29.95,28.55,29.95,29.95,28.85,22,725,21075.00,
500123,ELANTAS     ,B ,Q,1205.00,1215.00,1125.00,1130.00,1130.00,1194.50,1442,14423,16974670.00,
500124,DR.REDDY'S  ,A ,Q,3360.00,3381.10,3265.20,3274.95,3274.95,3358.30,4182,27976,93060901.00,
500125,E.I.D.PAR   ,A ,Q,177.00,181.00,175.50,176.00,175.65,175.25,783,11041,1960930.00,
500126,MERCK LTD   ,B ,Q,849.00,850.00,821.00,823.75,823.75,823.75,479,5949,4913116.00,
500128,ELEC.CASTING,B ,Q,17.50,17.80,17.30,17.45,17.45,17.35,669,176323,3102055.00,
500132,EMPEE SUGARS,B ,Q,3.57,3.57,3.32,3.32,3.32,3.31,17,5200,17954.00,
500133,ESAB INDIA  ,B ,Q,695.00,739.00,695.00,713.25,713.25,696.75,540,2101,1521293.00,
500134,ESSAR OIL   ,A ,Q,108.65,109.10,106.95,108.00,108.00,108.45,759,59982,6493584.00,
500135,ESSEL PROP  ,B ,Q,118.80,120.00,116.10,117.30,117.30,118.10,511,19777,2339670.00,
500136,ESTER INDUS.,B ,Q,16.40,16.60,16.15,16.50,16.15,16.35,79,17650,289936.00,
500139,FEDDER.LLYOD,B ,Q,67.00,67.95,66.20,66.35,66.20,66.20,80,2270,151836.00,
500141,FERRO ALLOYS,B ,Q,5.11,5.37,5.05,5.27,5.27,5.17,145,35843,186686.00,
500142,FGP LTD.    ,B ,Q,1.97,1.97,1.97,1.97,1.97,2.05,4,501,986.00,
500144,FINOL. CABLE,A ,Q,275.05,279.45,269.50,271.20,271.20,275.95,1616,41404,11321727.00,
500147,CMI FPE     ,B ,Q,415.10,415.10,407.90,410.30,408.00,425.00,62,929,382945.00,
500148,UFLEX LTD   ,B ,Q,141.15,141.65,136.60,137.25,137.25,140.30,667,22732,3165044.00,
500150,FOSECO INDIA,B ,Q,1237.00,1237.00,1212.25,1214.00,1212.25,1221.50,47,373,454557.00,
500151,GOLDEN TOB  ,B ,Q,48.50,51.45,46.00,46.35,46.25,49.00,393,13015,621908.00,
500153,GANESH BENZO,B ,Q,9.35,9.45,8.76,9.07,9.07,9.28,281,97981,889883.00,
500155,GARDEN SILK ,B ,Q,28.95,29.40,28.15,28.25,28.50,28.10,49,1784,51092.00,
500159,METROGLOBL  ,B ,Q,67.15,73.90,67.15,72.80,71.00,71.60,64,3976,283306.00,
