SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1289.95,1289.95,1257.40,1267.65,1280.00,1281.60,721,4527,5750539.00,
500003,AEGIS LOGIS ,B ,Q,427.80,428.40,413.05,416.60,418.00,428.80,481,2153,903118.00,
500008,AMAR RAJA BA,A ,Q,877.00,879.40,861.00,864.65,864.65,883.80,1291,13080,11372548.00,
500009,A.SARABHAI  ,B ,Q,4.07,4.47,4.07,4.07,4.07,4.26,34,4664,19566.00,
500010,HDFC        ,A ,Q,1270.00,1275.90,1246.20,1270.85,1270.85,1279.50,5701,78335,98848626.00,
500012,ANDHRA PETRO,B ,Q,12.15,12.73,11.80,12.01,12.00,12.58,183,30472,367684.00,
500013,ANSAL INFRAS,B ,Q,26.20,26.45,25.05,25.25,25.25,26.20,290,34034,882074.00,
500014,APPLE FINANC,B ,Q,2.50,2.82,2.45,2.47,2.45,2.55,35,9673,23880.00,
500020,BOM DYEING  ,B ,Q,72.80,76.80,71.50,73.95,73.95,73.60,6789,632329,46933542.00,
500023,ASIANHOTNR  ,B ,Q,118.05,124.85,117.05,117.80,117.80,124.05,76,1923,231799.00,
500024,ASSAMCO     ,B ,Q,4.50,4.63,4.45,4.52,4.52,4.64,339,549570,2521176.00,
500027,ATUL LTD.   ,A ,Q,1261.35,1305.80,1261.35,1290.20,1290.00,1270.15,600,2478,3201042.00,
500028,ATV PROJECTS,T ,Q,2.85,3.15,2.85,3.15,3.15,3.00,65,13138,39175.00,
500029,AUTOLITE(I) ,B ,Q,31.20,35.30,31.20,35.30,35.30,33.65,32,1727,59481.00,
500030,AUTORID.FIN ,B ,Q,0.64,0.64,0.64,0.64,0.64,0.69,3,500,320.00,
500031,BAJAJ ELECT.,A ,Q,218.00,218.00,213.00,213.95,213.95,220.35,1223,23104,4982439.00,
500032,BAJAJHIND.LT,B ,Q,17.60,17.75,16.25,17.00,17.00,17.85,1725,764884,13317789.00,
500033,FORCE MOTR  ,B ,Q,1245.00,1286.85,1218.00,1227.95,1227.95,1253.70,8163,106919,133562241.00,
500034,BAJFINANCE  ,A ,Q,4012.35,4045.00,3981.20,4005.95,4020.00,4028.30,600,1643,6593759.00,
500038,BALRAM.CHINI,A ,Q,55.55,57.50,55.55,56.20,56.15,57.20,490,47664,2679869.00,
500039,BANCO PROD. ,B ,Q,131.00,131.00,127.10,129.75,128.80,131.75,310,5158,666527.00,
500040,CENTURY TEXT,A ,Q,502.00,504.00,488.00,494.40,494.40,505.70,5874,115063,56980774.00,
500041,BANNARI AMAN,B ,Q,1128.00,1169.90,1125.90,1155.30,1169.90,1171.00,28,70,79756.00,
500042,BASF INDIA  ,B ,Q,1209.65,1233.10,1194.00,1200.45,1200.45,1214.00,782,3053,3683005.00,
500043,BATA INDIA  ,A ,Q,1362.90,1362.90,1318.90,1329.90,1329.90,1362.90,1714,13923,18589856.00,
500048,BEML LTD    ,A ,Q,895.00,895.00,852.20,855.95,855.95,901.10,6790,73469,63747339.00,
500049,BHARAT ELECT,A ,Q,3415.50,3419.90,3300.00,3313.55,3313.55,3415.50,4317,14792,49475129.00,
500052,BHANSALI ENG,B ,Q,18.60,18.85,17.80,17.80,17.80,18.60,17,2352,43196.00,
500055,BHUSH STEEL ,A ,Q,91.20,98.80,90.00,93.00,93.00,91.75,10895,447637,42286002.00,
500057,ABCIL       ,B ,Q,224.00,225.60,220.00,224.00,224.00,224.80,230,2562,572432.00,
500058,BIHAR SPONGE,T ,Q,2.71,2.88,2.71,2.84,2.84,2.85,13,1352,3687.00,
500059,BINANI IND. ,B ,Q,100.90,103.40,100.00,101.05,101.05,103.40,381,13756,1400325.00,
500060,BIRLA ERIC. ,T ,Q,65.00,65.00,63.10,63.45,63.40,66.40,126,9339,594083.00,
500067,BLUE STAR   ,B ,Q,330.00,332.00,312.60,313.65,313.65,333.50,671,4748,1523170.00,
500068,DISA INDIA  ,B ,Q,4309.00,4309.00,4309.00,4309.00,4309.00,4311.30,4,5,21545.00,
500074,BPL LTD.    ,B ,Q,30.30,33.60,29.00,30.90,30.90,29.60,2487,171188,5343334.00,
500078,CAMPH.& ALL ,B ,Q,299.00,304.90,287.90,289.90,288.00,314.30,361,9589,2833593.00,
500083,CENTURY EXT ,B ,Q,1.77,1.85,1.76,1.76,1.76,1.80,14,7438,13168.00,
500084,CESC LTD.   ,A ,Q,677.00,677.00,651.60,659.50,659.50,683.20,2688,29880,19722565.00,
500085,CHAMBAL FERT,B ,Q,60.90,62.85,60.60,60.95,60.95,60.80,2696,163917,10143129.00,
500086,EXIDE IND.  ,A ,Q,183.20,184.25,176.30,177.05,177.40,184.60,4315,190354,34296592.00,
500087,CIPLA LTD.  ,A ,Q,650.00,656.00,626.10,629.65,629.65,655.20,7593,174845,111820547.00,
500089,DIC INDIA   ,B ,Q,353.20,355.15,350.00,350.00,350.00,359.65,96,10362,3675273.00,
500092,CRISIL LTD  ,A ,Q,2052.05,2052.05,2010.00,2016.00,2012.10,2042.75,462,13790,27916573.00,
500093,CROMPT.GREAV,A ,Q,159.00,165.00,153.10,162.55,162.55,159.15,22636,1713046,274109664.00,
500096,DABUR (I)   ,A ,Q,271.95,273.15,259.05,261.00,261.00,272.40,3415,102731,27327595.00,
500097,DALMIASUG   ,B ,Q,21.55,22.45,21.20,22.15,22.30,22.80,47,6219,137417.00,
500101,ARVIND Ltd  ,A ,Q,280.00,286.80,275.40,280.80,280.80,282.35,5761,223604,63224711.00,
500102,BALARPUR IND,B ,Q,14.80,15.10,14.55,14.70,14.70,14.85,635,508302,7560386.00,
500103,BHEL        ,A ,Q,261.00,266.10,257.15,258.75,258.75,264.20,6679,285786,74851657.00,
500104,HIND.PETRO  ,A ,Q,584.70,590.10,568.50,573.75,573.75,583.30,9731,192247,111060206.00,
500106,IFCI LTD    ,A ,Q,36.45,36.95,34.85,35.00,35.00,36.95,3238,1039480,37280397.00,
500108,MAHA.TELE   ,B ,Q,27.35,28.10,27.05,27.30,27.30,27.65,2099,405356,11132186.00,
500109,MRPL        ,A ,Q,53.70,55.20,52.85,54.25,54.25,53.90,1420,104038,5614569.00,
500110,CHENNAI PET.,B ,Q,76.80,76.80,74.00,74.40,74.40,77.55,1042,51598,3890132.00,
500111,REL.CAP.    ,A ,Q,449.00,454.70,435.45,439.15,439.15,458.65,17305,492640,219255338.00,
500112,STATE BANK  ,A ,Q,290.00,292.80,278.10,279.75,279.75,290.35,67673,3007086,857383921.00,
500113,STEEL AUTH. ,A ,Q,74.00,74.00,70.50,70.85,70.85,73.50,5823,327260,23430432.00,
500114,TITAN       ,A ,Q,415.65,421.00,410.05,412.30,412.30,416.30,4474,109475,45430802.00,
500116,IDBI BANK L ,A ,Q,65.75,67.40,63.95,64.35,64.35,65.80,4500,420405,27474063.00,
500117,DCW LTD.    ,B ,Q,16.80,16.80,16.25,16.55,16.55,16.90,669,96499,1595930.00,
500119,DHAMPUR SUGA,B ,Q,40.05,40.50,39.20,39.80,39.55,40.75,215,13669,542834.00,
500120,DIAMINES&CHM,B ,Q,31.00,33.00,31.00,33.00,33.00,30.15,65,3879,127483.00,
500123,ELANTAS     ,B ,Q,1085.00,1088.00,1040.00,1065.45,1065.45,1072.20,319,2454,2614008.00,
500124,DR.REDDY'S  ,A ,Q,3065.00,3113.00,3010.00,3102.90,3109.00,3047.65,3880,22467,68823556.00,
500125,E.I.D.PAR   ,A ,Q,168.00,179.70,167.25,177.50,176.25,168.85,2053,42755,7472784.00,
500126,MERCK LTD   ,B ,Q,855.00,864.40,833.00,851.60,851.60,858.20,1251,10680,9036113.00,
500128,ELEC.CASTING,B ,Q,16.70,17.15,16.60,16.90,16.90,16.90,796,206319,3479773.00,
500132,EMPEE SUGARS,B ,Q,3.50,3.79,3.40,3.40,3.40,3.40,50,6282,22463.00,
500133,ESAB INDIA  ,B ,Q,667.90,667.90,642.20,650.20,652.00,662.30,443,1339,880572.00,
500134,ESSAR OIL   ,A ,Q,111.00,115.80,110.40,114.05,114.05,112.25,2572,118269,13416016.00,
500135,ESSEL PROP  ,B ,Q,122.15,122.15,117.00,117.75,117.05,123.40,1770,103169,12242025.00,
500136,ESTER INDUS.,B ,Q,19.75,20.50,19.75,19.90,20.00,19.80,140,13569,271895.00,
500139,FEDDER.LLYOD,B ,Q,69.10,70.00,65.55,66.80,66.00,69.95,326,12099,822157.00,
500141,FERRO ALLOYS,B ,Q,5.55,5.75,5.50,5.50,5.50,5.73,251,22224,124259.00,
500143,P.H.CAPITAL ,B ,Q,7.50,7.50,7.50,7.50,7.50,7.30,2,1,7.00,
500144,FINOL. CABLE,A ,Q,250.00,255.70,243.10,249.65,249.65,252.25,2723,53804,13478053.00,
500145,FIRST LEASIN,Z ,Q,3.80,3.83,3.80,3.81,3.81,4.00,20,3545,13513.00,
500147,CMI FPE     ,B ,Q,421.00,425.00,410.00,418.30,418.30,430.00,66,599,249472.00,
500148,UFLEX LTD   ,B ,Q,146.00,146.80,141.05,142.30,142.30,145.90,553,18530,2656004.00,
500150,FOSECO INDIA,B ,Q,1250.00,1275.05,1225.00,1231.05,1225.00,1255.00,95,261,324381.00,
500151,GOLDEN TOB  ,B ,Q,47.00,48.25,45.40,46.20,46.20,47.90,137,4154,192843.00,
500153,GANESH BENZO,B ,Q,6.00,6.27,6.00,6.05,6.05,6.05,66,14279,85783.00,
500155,GARDEN SILK ,B ,Q,34.30,34.30,28.10,28.50,28.50,28.60,56,1634,46388.00,
500159,METROGLOBL  ,B ,Q,70.00,70.70,70.00,70.70,70.70,69.90,4,63,4433.00,
500160,GTL LTD.    ,B ,Q,15.65,16.00,15.00,15.15,15.25,15.75,725,82724,1274543.00,
500162,PARRYSUGR   ,B ,Q,18.85,19.25,17.10,17.70,17.50,19.75,161,3557,63683.00,
500163,GODFREY PH  ,B ,Q,517.65,523.50,492.30,502.40,496.90,524.90,955,6643,3380646.00,
500164,GODREJ IND  ,A ,Q,302.00,307.00,286.20,292.10,292.10,303.90,3004,59360,17788815.00,
500165,KANSAI NERO ,B ,Q,2350.70,2354.30,2320.00,2334.80,2334.80,2350.70,489,1594,3733576.00,
500166,GOODRICKE   ,B ,Q,142.00,144.90,141.00,142.65,143.00,143.40,142,3025,431642.00,
500168,GOODYEAR (I),B ,Q,582.10,587.20,565.00,570.05,570.05,593.10,523,19764,11436638.00,
500171,GHCL LTD    ,B ,Q,70.90,70.90,68.50,69.40,69.40,71.05,706,40620,2838475.00,
500173,GUJ.FLOURO  ,B ,Q,775.55,791.00,750.00,757.10,765.00,783.30,766,3972,3049363.00,
500174,GUJ.LEASE   ,B ,Q,2.72,2.72,2.36,2.36,2.36,2.60,8,1055,2849.00,
500179,HCL INFOSYS ,B ,Q,45.45,46.85,44.65,45.10,45.10,45.95,3442,279085,12778207.00,
500180,HDFC BANK   ,A ,Q,1048.50,1048.50,1035.00,1040.25,1040.25,1056.55,4874,98744,102742081.00,
500182,HEROMOTOCO  ,A ,Q,2767.00,2767.00,2705.20,2728.50,2728.50,2779.50,5751,34851,95035563.00,
500183,HIMACHAL FUT,B ,Q,16.45,16.80,15.80,16.05,16.05,16.70,4925,2786555,45255843.00,
500184,HIMADRI CHEM,B ,Q,21.80,22.35,21.50,22.00,22.00,22.00,81,4965,109015.00,
500185,HIND.CONSTN.,A ,Q,31.90,33.40,31.40,31.50,31.50,32.30,5275,922480,29854770.00,
500186,HIND.OIL EXP,B ,Q,36.40,37.00,35.25,35.35,35.35,36.50,3160,261787,9445130.00,
500187,HSIL        ,B ,Q,395.50,396.45,389.25,391.35,391.35,397.25,1110,14050,5515240.00,
500188,HINDUS.ZI   ,A ,Q,169.30,177.15,167.30,174.05,174.05,170.15,4035,129851,22538215.00,
500189,HINDUJA VENT,B ,Q,330.00,338.00,327.10,331.50,331.35,334.05,347,27704,9189208.00,
500191,HMT LTD.    ,B ,Q,56.95,58.00,55.20,55.45,55.45,57.60,1794,137741,7781236.00,
500192,PRAG BOSIMI ,T ,Q,4.71,4.75,4.71,4.75,4.75,4.80,6,59,278.00,
500193,HOTEL LEELA.,B ,Q,22.10,22.15,21.50,21.65,21.65,22.20,495,52316,1141193.00,
500199,I.G.PETRO   ,B ,Q,51.90,51.90,47.00,47.85,47.20,48.35,85,5317,259007.00,
500201,IND.GLYCOLS ,B ,Q,103.00,103.50,99.50,100.40,100.40,103.45,702,19286,1957401.00,
500202,IND.LEAS.DEV,B ,Q,6.30,6.30,6.30,6.30,6.30,6.00,2,134,844.00,
500206,MARGO FIN   ,T ,Q,11.02,11.02,11.02,11.02,11.02,10.81,8,750,8265.00,
500207,INDO RAMA   ,B ,Q,20.25,20.75,20.15,20.25,20.15,20.80,35,979,19906.00,
500209,INFOSYS LTD ,A ,Q,2229.35,2255.00,2206.40,2250.20,2250.20,2229.35,16465,160907,360381998.00,
500210,INGERSOLL   ,B ,Q,899.90,899.90,871.10,873.50,875.20,905.00,643,2885,2543786.00,
500211,INSILCO LTD.,T ,Q,17.30,17.30,16.45,16.65,16.65,17.20,40,12243,203625.00,
500213,INTER.TRAVEL,B ,Q,255.10,255.10,248.05,254.55,250.50,254.70,102,3859,974681.00,
500214,ION EXCHANGE,T ,Q,265.00,265.00,255.25,257.50,264.90,261.75,167,7215,1860193.00,
500215,AGRO TECH FO,B ,Q,672.80,705.50,672.80,693.85,676.40,674.95,1221,10834,7529867.00,
500219,JAIN IRRIG  ,A ,Q,67.10,70.60,65.80,66.30,66.30,67.45,9692,698614,47580317.00,
500220,JASCH INDUST,B ,Q,19.25,21.30,19.00,20.15,20.20,19.65,45,6621,129109.00,
500222,JCT ELECTRON,B ,Q,0.61,0.62,0.61,0.62,0.62,0.65,16,4400,2723.00,
500223,JCT LTD     ,B ,Q,4.39,4.39,3.65,3.71,3.73,4.00,501,332334,1254920.00,
500227,JINDAL POLYF,B ,Q,219.40,219.40,205.00,207.15,207.15,221.55,1764,53048,11131386.00,
500228,JSWSL       ,A ,Q,960.00,960.00,923.00,936.60,936.60,961.35,5700,80936,76015558.00,
500231,UMANG DAIR  ,B ,Q,59.00,59.85,56.95,57.80,57.90,59.50,186,27350,1577702.00,
500233,KAJARIA CER.,A ,Q,750.50,817.00,746.65,770.15,770.15,766.10,5970,50402,39859185.00,
500234,KAKATIYA CEM,B ,Q,102.90,104.00,100.05,101.60,101.60,104.65,152,4431,450003.00,
500235,KALYANI STEL,B ,Q,140.10,141.90,135.25,135.75,135.75,142.15,1737,42486,5871663.00,
500236,KANELIND    ,B ,Q,7.10,7.81,7.10,7.81,7.81,7.44,20,10374,78577.00,
500238,WHIRLPOOL   ,B ,Q,670.00,670.00,655.10,661.05,663.05,673.10,658,6883,4552778.00,
500239,KG DENIM    ,B ,Q,24.60,24.60,21.85,22.10,22.10,23.15,180,37755,844347.00,
500240,KINETIC ENG.,B ,Q,43.25,44.00,42.10,43.30,43.30,43.70,74,2443,105670.00,
500241,KIRL.BROS.  ,B ,Q,211.50,211.50,201.00,205.30,210.00,211.05,465,5512,1126052.00,
500243,KIRL INDUS  ,B ,Q,588.05,589.95,556.00,570.00,589.95,590.00,26,67,38222.00,
500245,KIRL.FERROUS,B ,Q,63.45,63.45,61.30,61.85,61.50,62.55,404,66183,4100998.00,
500246,ENVAIN ELECT,B ,Q,18.95,18.95,18.75,18.75,18.75,18.05,18,1390,26122.00,
500247,KOTAK MAH.BK,A ,Q,1260.00,1283.00,1238.00,1266.15,1259.35,1266.00,7501,81849,103501647.00,
500249,KSB PUMPS   ,B ,Q,714.50,714.50,680.00,689.75,689.75,711.45,1067,4854,3377424.00,
500250,L.G.BALKRISH,B ,Q,569.00,584.00,541.40,568.15,567.00,569.80,440,2493,1398159.00,
500251,TRENT LTD.  ,A ,Q,1468.55,1497.25,1458.00,1463.25,1463.25,1473.35,479,1666,2461353.00,
500252,LAKSHMI MACH,A ,Q,3791.55,3806.05,3735.00,3761.10,3761.10,3749.25,1175,1457,5506965.00,
500253,LIC HOUS.FIN,A ,Q,448.00,461.15,445.25,447.95,447.95,452.70,8388,231183,104987661.00,
500254,UTTAMVALUE  ,B ,Q,6.01,6.15,6.01,6.08,6.03,6.13,78,15554,94941.00,
500255,LML LTD.    ,B ,Q,7.90,7.94,7.60,7.66,7.79,7.96,201,48133,371695.00,
500256,LOK.HOUS&CON,T ,Q,13.13,13.13,12.61,12.78,12.78,12.51,80,17479,226724.00,
500257,LUPIN LTD.  ,A ,Q,1567.00,1572.00,1541.00,1545.15,1545.15,1567.55,3187,40522,62881804.00,
500259,LYKA LABS   ,B ,Q,36.00,38.15,35.50,38.15,38.15,36.35,511,52925,2003187.00,
500260,RAMCOCEM    ,A ,Q,337.65,337.65,325.55,327.40,327.40,340.90,1553,30690,10134144.00,
500264,MAFATLAL IND,B ,Q,152.00,153.90,150.00,150.10,150.10,154.40,39,2714,412314.00,
500265,MAH.SEAMLESS,B ,Q,219.95,221.00,204.60,205.10,205.10,208.35,2323,43215,9098172.00,
500266,MAH.SCOOTER ,B ,Q,912.00,913.05,883.60,892.20,904.00,910.65,253,1087,978649.00,
500267,MAJESTIC AUT,B ,Q,76.45,76.45,76.25,76.25,76.25,77.10,12,370,28215.00,
500268,MANALI PETRO,B ,Q,16.65,17.35,16.15,16.25,16.25,16.85,1510,259528,4339457.00,
500271,MAX INDIA   ,A ,Q,469.00,469.00,451.85,457.30,457.30,471.35,2696,36475,16708608.00,
500277,MID INDIA IN,T ,Q,2.57,2.57,2.57,2.57,2.57,2.45,2,2000,5140.00,
500279,MIRC ELECT  ,B ,Q,11.85,11.90,10.80,10.91,10.91,11.51,1865,238157,2680136.00,
500280,CENTURY ENKA,B ,Q,165.00,165.00,158.40,159.75,160.40,160.55,239,4066,652602.00,
500284,LORDS CHLORO,T ,Q,19.60,20.15,19.60,20.15,20.15,20.60,56,7686,154823.00,
500285,SPICEJET LTD,B ,Q,20.50,20.75,19.75,20.00,20.00,20.90,6805,3199019,64612233.00,
500288,MOREPEN LAB.,B ,Q,9.50,10.94,9.05,10.28,10.28,9.52,5205,743482,7696125.00,
500290,MRF LTD.    ,A ,Q,38488.40,38500.00,37085.00,37275.35,37275.35,38830.95,2343,2363,89134128.00,
500292,HEIDEL CEM  ,B ,Q,81.20,81.20,77.70,78.10,78.10,81.55,1545,53926,4233426.00,
500294,NCC         ,A ,Q,69.90,69.90,62.10,63.65,63.65,70.55,9472,987668,64368438.00,
500295,SSLT        ,A ,Q,209.00,209.90,199.00,201.05,201.05,210.60,12702,391996,80371801.00,
500296,NAHAR SPG.  ,B ,Q,92.70,93.70,89.10,89.95,89.65,90.00,853,24351,2201195.00,
500298,NAT.PEROXIDE,B ,Q,705.00,705.00,652.50,669.50,669.50,730.00,1071,13584,9135663.00,
500300,GRASIM IND. ,A ,Q,3800.00,3800.00,3685.25,3708.15,3708.15,3807.25,910,3784,14077755.00,
500301,NEPC INDIA  ,T ,Q,2.75,2.99,2.75,2.84,2.75,2.89,59,23872,67473.00,
500302,PEL         ,A ,Q,832.00,864.25,820.50,850.55,844.00,834.00,2245,27669,23475257.00,
500303,ADI BIR NUVO,A ,Q,1748.00,1780.25,1740.00,1743.40,1740.25,1762.80,1111,5635,9894799.00,
500304,NIIT LTD.   ,B ,Q,41.30,41.55,40.25,40.45,40.45,41.20,999,85599,3494125.00,
500306,JAYKAY      ,B ,Q,3.15,3.58,3.15,3.21,3.43,3.35,35,1788,5765.00,
500307,NIRLON      ,B ,Q,196.05,202.30,195.50,196.95,196.95,196.65,2013,163496,32471954.00,
500312,ONGC CORPN  ,A ,Q,352.00,357.75,349.75,356.25,356.25,350.95,11793,353151,125400928.00,
500313,OIL COUNTRY ,B ,Q,34.15,34.70,33.80,33.90,33.85,34.00,92,2775,94738.00,
500314,ORIENT HOTEL,B ,Q,22.30,22.50,22.10,22.20,22.20,22.70,14,655,14492.00,
500315,ORINTAL BANK,A ,Q,244.00,247.00,230.05,231.80,231.80,246.45,9368,241098,57654632.00,
500317,OSWAL AGRO. ,B ,Q,13.30,13.98,13.21,13.29,13.29,13.61,159,9280,123424.00,
500318,OSWAL SPG(P),T ,Q,1.57,1.57,1.57,1.57,1.57,1.65,25,322,505.00,
500319,INDIAN SUCRO,T ,Q,6.52,6.98,6.49,6.49,6.98,6.83,14,851,5530.00,
500322,PANYAM CEMEN,B ,Q,40.00,40.00,40.00,40.00,40.00,39.85,17,547,21880.00,
500325,RELIANCE    ,A ,Q,903.00,915.70,891.95,897.30,897.30,910.45,19104,441242,399636877.00,
500327,PEACOCK IND.,B ,Q,19.00,19.15,16.65,17.00,16.70,18.10,345,7288,131524.00,
500329,PENTAMED.G  ,B ,Q,1.00,1.03,0.91,1.00,0.99,0.99,576,123604,122464.00,
500330,RAYMOND     ,A ,Q,512.00,519.00,503.00,507.55,507.55,511.85,2042,27204,13876003.00,
500331,PIDILITE    ,A ,Q,536.00,544.50,529.40,541.90,541.90,535.65,2771,28910,15595391.00,
500333,PIX TRANS   ,B ,Q,64.00,64.40,55.45,55.45,55.45,69.30,2126,164426,9380482.00,
500335,BIRLA CORPN.,B ,Q,455.15,455.15,440.10,445.05,446.00,467.10,441,3250,1448619.00,
500336,SURYA ROSHNI,B ,Q,115.05,116.80,112.55,113.75,114.95,115.85,1948,79554,9082886.00,
500337,PRIME SECUR.,B ,Q,4.60,4.82,4.60,4.81,4.81,4.94,22,2550,12213.00,
500338,PRISM CEMENT,B ,Q,92.00,94.30,89.20,91.70,91.70,90.95,2267,84673,7783870.00,
500339,RAIN        ,B ,Q,37.75,38.50,37.25,38.15,38.50,38.05,640,42557,1616484.00,
500346,PUN.COMMUNI.,B ,Q,74.00,74.00,63.35,65.00,65.00,65.65,53,1081,69878.00,
500350,RSWM  LTD   ,B ,Q,200.10,203.30,199.30,200.35,200.85,203.10,434,29160,5850081.00,
500354,RAJSH.SUGAR ,B ,Q,20.90,21.80,20.90,21.75,21.75,21.90,20,993,21570.00,
500355,RALLIS INDIA,A ,Q,228.00,231.85,225.60,227.30,227.00,227.95,1355,27260,6227218.00,
500356,RAMANEWS    ,B ,Q,6.52,6.62,6.42,6.44,6.44,6.61,41,13688,89025.00,
500357,RAMA PAPER  ,B ,Q,11.49,11.49,11.00,11.00,11.00,11.50,15,8740,97054.00,
