SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1355.00,1369.00,1335.00,1346.75,1346.75,1342.45,1947,9793,13245253.00,
500003,AEGIS LOGIS ,B ,Q,650.00,687.00,650.00,668.75,668.75,644.25,4752,48426,32452404.00,
500008,AMAR RAJA BA,A ,Q,856.05,858.15,845.00,848.75,848.75,851.70,815,6261,5328008.00,
500009,A.SARABHAI  ,B ,Q,5.46,5.86,5.41,5.44,5.59,5.49,198,73752,416688.00,
500010,HDFC        ,A ,Q,1335.00,1339.50,1313.05,1328.70,1328.70,1327.15,5831,47182,62513409.00,
500012,ANDHRA PETRO,B ,Q,12.02,12.10,11.81,12.03,12.03,12.02,104,25800,308844.00,
500013,ANSAL INFRAS,B ,Q,25.70,25.80,25.00,25.40,25.25,25.90,616,53419,1352395.00,
500014,APPLE FINANC,B ,Q,2.35,2.35,2.12,2.13,2.12,2.30,15,3500,7639.00,
500020,BOM DYEING  ,B ,Q,68.00,70.50,66.55,69.50,69.50,67.50,5741,611026,41941870.00,
500023,ASIANHOTNR  ,B ,Q,102.50,106.90,102.50,106.90,106.90,102.10,10,2002,209605.00,
500024,ASSAMCO     ,B ,Q,4.29,4.35,4.21,4.27,4.27,4.31,191,153009,652337.00,
500027,ATUL LTD.   ,A ,Q,1130.80,1141.45,1111.00,1114.60,1114.60,1123.95,351,4852,5454512.00,
500028,ATV PROJECTS,T ,Q,2.38,2.38,2.38,2.38,2.38,2.27,8,850,2023.00,
500029,AUTOLITE(I) ,B ,Q,39.95,39.95,37.15,38.65,39.00,38.90,54,3400,130204.00,
500031,BAJAJ ELECT.,A ,Q,233.00,243.50,232.75,241.00,241.00,234.30,3265,92111,22030750.00,
500032,BAJAJHIND   ,B ,Q,15.34,15.45,15.05,15.30,15.30,15.24,1061,283065,4305037.00,
500033,FORCE MOTR  ,B ,Q,1539.00,1544.00,1482.75,1513.25,1513.25,1528.00,8329,100672,152487126.00,
500034,BAJFINANCE  ,A ,Q,4259.35,4373.00,4210.05,4337.50,4337.50,4243.85,421,2231,9487574.00,
500038,BALRAM.CHINI,A ,Q,51.25,51.25,50.20,50.55,50.55,51.35,584,32223,1631624.00,
500039,BANCO PROD. ,B ,Q,107.00,112.00,106.20,110.20,110.40,107.00,859,23224,2554932.00,
500040,CENTURY TEXT,A ,Q,690.00,731.50,683.00,726.00,726.00,687.50,23071,609918,433246255.00,
500041,BANNARI AMAN,B ,Q,849.00,850.00,825.00,846.50,847.00,849.00,20,191,159882.00,
500042,BASF INDIA  ,B ,Q,1135.35,1171.00,1096.50,1104.05,1104.05,1126.25,1894,8056,9016436.00,
500043,BATA INDIA  ,A ,Q,1144.00,1145.00,1119.15,1132.50,1134.95,1131.50,1426,14411,16289908.00,
500048,BEML LTD    ,A ,Q,1162.00,1171.00,1140.50,1159.75,1159.75,1160.45,6319,68711,79636793.00,
500049,BHARAT ELECT,A ,Q,3615.00,3625.00,3493.60,3588.75,3588.75,3591.05,7490,31149,110884134.00,
500052,BHANSALI ENG,B ,Q,21.40,22.50,20.65,21.85,22.20,21.45,108,79238,1667414.00,
500055,BHUSH STEEL ,A ,Q,61.60,62.95,61.10,62.55,62.55,60.90,4069,221689,13753252.00,
500057,ABCIL       ,B ,Q,224.00,229.00,221.10,228.30,228.30,222.90,156,4107,924466.00,
500058,BIHAR SPONGE,T ,Q,2.36,2.48,2.35,2.44,2.37,2.37,49,10285,25210.00,
