SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1280.70,1315.95,1270.90,1278.25,1278.25,1268.45,1998,10335,13375345.00,
500003,AEGIS LOGIS ,B ,Q,635.00,635.00,585.10,587.30,587.30,633.60,5301,52609,31838030.00,
500008,AMAR RAJA BA,A ,Q,868.50,873.70,862.00,864.65,865.30,863.50,765,6136,5310752.00,
500009,A.SARABHAI  ,B ,Q,4.20,4.20,3.86,3.87,3.87,3.84,41,13698,53618.00,
500010,HDFC        ,A ,Q,1332.00,1354.20,1317.85,1328.40,1328.40,1323.90,10484,192731,257580849.00,
500012,ANDHRA PETRO,B ,Q,10.44,10.79,10.20,10.29,10.32,10.44,100,20796,216680.00,
500013,ANSAL INFRAS,B ,Q,25.90,26.15,24.55,24.80,24.55,25.65,396,22039,559145.00,
500014,APPLE FINANC,B ,Q,2.26,2.50,2.12,2.15,2.15,2.25,61,8259,18445.00,
500020,BOM DYEING  ,B ,Q,72.00,72.80,69.05,69.50,69.50,71.25,3736,318111,22531106.00,
500023,ASIANHOTNR  ,B ,Q,101.50,105.10,101.00,102.80,102.00,103.20,88,2395,246773.00,
500024,ASSAMCO     ,B ,Q,4.25,4.28,4.19,4.24,4.24,4.21,183,94126,398361.00,
500027,ATUL LTD.   ,A ,Q,1180.00,1181.00,1148.00,1161.65,1161.65,1183.35,1726,61318,72285492.00,
500028,ATV PROJECTS,T ,Q,2.73,2.73,2.49,2.55,2.55,2.60,31,11844,31988.00,
500029,AUTOLITE(I) ,B ,Q,29.50,29.50,29.50,29.50,29.50,28.70,4,2,59.00,
500030,AUTORID.FIN ,T ,Q,0.71,0.71,0.71,0.71,0.71,0.74,2,100,71.00,
500031,BAJAJ ELECT.,A ,Q,217.00,220.95,213.00,213.70,213.70,215.15,1161,26910,5812352.00,
500032,BAJAJHIND   ,B ,Q,16.25,16.50,15.65,15.75,15.75,16.05,1061,390669,6233110.00,
