SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1285.00,1380.20,1278.30,1342.45,1342.45,1275.85,5336,21919,29193441.00,
500003,AEGIS LOGIS ,B ,Q,656.50,663.00,630.00,644.25,644.25,656.50,2393,18213,11661506.00,
500008,AMAR RAJA BA,A ,Q,850.00,857.75,838.50,851.70,851.70,845.50,711,6953,5878215.00,
500009,A.SARABHAI  ,B ,Q,5.44,5.49,4.51,5.49,5.49,4.58,334,112437,602733.00,
500010,HDFC        ,A ,Q,1345.00,1345.00,1303.50,1327.15,1327.15,1333.80,5577,64666,85239599.00,
500012,ANDHRA PETRO,B ,Q,11.73,12.09,11.52,12.02,12.05,11.82,126,36169,429604.00,
500013,ANSAL INFRAS,B ,Q,24.15,26.20,24.05,25.90,25.90,23.80,630,61750,1561933.00,
500014,APPLE FINANC,B ,Q,2.21,2.30,2.20,2.30,2.30,2.18,24,7338,16386.00,
500020,BOM DYEING  ,B ,Q,66.45,68.20,65.75,67.50,67.50,66.10,3412,304624,20458220.00,
500023,ASIANHOTNR  ,B ,Q,106.00,106.00,102.00,102.10,102.00,104.00,35,184,18805.00,
500024,ASSAMCO     ,B ,Q,4.36,4.40,4.26,4.31,4.31,4.27,275,181404,783879.00,
500027,ATUL LTD.   ,A ,Q,1150.00,1155.00,1118.65,1123.95,1123.95,1146.90,382,2023,2281306.00,
500028,ATV PROJECTS,T ,Q,2.27,2.27,2.27,2.27,2.27,2.17,32,9278,21061.00,
500029,AUTOLITE(I) ,B ,Q,38.95,39.95,37.00,38.90,39.95,38.20,71,7765,297015.00,
500031,BAJAJ ELECT.,A ,Q,232.60,236.95,229.15,234.30,234.50,232.25,2185,54772,12794328.00,
500032,BAJAJHIND   ,B ,Q,14.52,15.40,14.52,15.24,15.24,14.61,1935,390622,5952355.00,
500033,FORCE MOTR  ,B ,Q,1428.00,1575.00,1402.25,1528.00,1528.00,1421.25,28196,354885,539358349.00,
500034,BAJFINANCE  ,A ,Q,4160.00,4300.05,4150.00,4243.85,4243.85,4136.20,589,2101,8838276.00,
500038,BALRAM.CHINI,A ,Q,50.40,52.25,50.40,51.35,51.00,49.95,2358,201662,10338025.00,
500039,BANCO PROD. ,B ,Q,109.20,110.50,106.80,107.00,107.00,107.80,381,8776,949580.00,
500040,CENTURY TEXT,A ,Q,678.90,694.25,666.45,687.50,687.50,676.75,11072,262827,179171863.00,
500041,BANNARI AMAN,B ,Q,862.00,862.00,825.00,849.00,849.00,858.75,38,277,233523.00,
500042,BASF INDIA  ,B ,Q,1115.00,1138.00,1095.00,1126.25,1126.25,1126.70,767,3932,4387400.00,
500043,BATA INDIA  ,A ,Q,1096.00,1138.50,1095.10,1131.50,1130.00,1095.25,2744,33036,37085207.00,
500046,BEST&CROMPT.,Z ,Q,3.95,3.95,3.61,3.61,3.61,3.77,12,1792,6979.00,
500048,BEML LTD    ,A ,Q,1135.00,1168.00,1113.60,1160.45,1160.45,1138.90,8336,94341,108315838.00,
500049,BHARAT ELECT,A ,Q,3517.00,3610.00,3510.00,3591.05,3591.05,3496.15,7833,39045,139371366.00,
500052,BHANSALI ENG,B ,Q,21.50,22.00,21.05,21.45,22.00,22.30,30,4537,97645.00,
500055,BHUSH STEEL ,A ,Q,64.50,65.90,60.60,60.90,60.90,64.25,6097,232535,14447799.00,
500057,ABCIL       ,B ,Q,221.00,223.40,220.10,222.90,223.40,220.10,57,871,193601.00,
500058,BIHAR SPONGE,T ,Q,2.32,2.54,2.31,2.37,2.33,2.43,17,1011,2449.00,
500059,BINANI IND. ,B ,Q,95.00,97.90,94.55,97.20,97.20,93.20,672,18482,1778461.00,
500060,BIRLA ERIC. ,T ,Q,52.10,55.80,52.10,55.65,55.80,54.35,82,6338,349353.00,
500067,BLUE STAR   ,B ,Q,312.00,317.05,309.00,314.90,314.90,310.55,448,5076,1596317.00,
500068,DISA INDIA  ,B ,Q,4731.00,5000.00,4730.00,4999.00,4999.00,4897.00,41,39,191855.00,
500069,BNK CAPITAL ,B ,Q,34.25,38.00,34.25,38.00,38.00,37.80,8,775,28680.00,
500074,BPL LTD.    ,B ,Q,31.95,33.30,31.75,32.80,32.80,31.85,890,67638,2212609.00,
500078,CAMPH.& ALL ,B ,Q,269.70,269.80,256.00,262.10,262.00,263.80,77,1384,359589.00,
500083,CENTURY EXT ,B ,Q,1.39,1.49,1.37,1.47,1.47,1.30,22,7165,10429.00,
500084,CESC LTD.   ,A ,Q,613.30,617.60,606.05,610.85,611.90,610.45,1912,21318,13049380.00,
500085,CHAMBAL FERT,B ,Q,73.70,73.70,70.05,70.35,70.35,72.20,1500,92511,6596572.00,
500086,EXIDE IND.  ,A ,Q,178.15,179.00,176.35,177.80,177.80,178.15,1556,98155,17455987.00,
500087,CIPLA LTD.  ,A ,Q,712.00,737.15,712.00,734.95,734.95,709.45,10244,406442,295797122.00,
500089,DIC INDIA   ,B ,Q,343.00,378.00,343.00,376.70,378.00,341.20,318,3177,1166961.00,
500092,CRISIL LTD  ,A ,Q,2046.95,2068.80,2035.00,2057.75,2054.50,2027.15,209,537,1102018.00,
500093,CROMPT.GREAV,A ,Q,168.70,169.50,165.20,166.85,166.85,166.10,3844,351060,58740700.00,
500096,DABUR (I)   ,A ,Q,267.65,273.45,267.45,272.45,272.45,266.75,2436,148126,40217520.00,
500097,DALMIASUG   ,B ,Q,18.00,18.00,16.90,17.10,17.10,17.50,10,727,12413.00,
500101,ARVIND Ltd  ,A ,Q,268.00,272.20,265.00,269.35,269.35,266.85,3677,138111,37203909.00,
500102,BALARPUR IND,B ,Q,14.10,14.29,13.87,14.25,14.25,13.92,572,242120,3389149.00,
500103,BHEL        ,A ,Q,230.90,237.75,227.80,235.00,235.00,231.80,13754,614661,142894597.00,
500104,HIND.PETRO  ,A ,Q,656.65,661.50,650.00,654.90,654.90,653.05,3316,92108,60385179.00,
500106,IFCI LTD    ,A ,Q,34.20,34.20,33.55,33.95,33.95,34.35,1314,286904,9725677.00,
500108,MAHA.TELE   ,B ,Q,19.30,20.20,18.65,19.90,19.90,18.80,2802,504655,9826174.00,
500109,MRPL        ,A ,Q,70.50,73.50,70.50,72.05,72.05,70.25,3780,215472,15569505.00,
500110,CHENNAI PET.,B ,Q,70.00,72.70,69.45,71.85,71.85,68.85,1476,70676,5064235.00,
500111,REL.CAP.    ,A ,Q,433.00,434.00,422.15,430.30,430.30,432.30,12341,373330,159472311.00,
500112,STATE BANK  ,A ,Q,275.00,275.55,271.10,274.55,274.55,273.45,20382,1250511,342263403.00,
500113,STEEL AUTH. ,A ,Q,70.95,70.95,69.35,69.55,69.55,70.60,3339,386637,26941815.00,
500114,TITAN       ,A ,Q,393.00,404.25,391.05,402.95,402.95,390.40,3537,72460,29025147.00,
500116,IDBI BANK L ,A ,Q,72.90,73.10,71.25,72.15,72.15,72.75,3172,394479,28372574.00,
500117,DCW LTD.    ,B ,Q,17.30,17.50,17.00,17.45,17.35,17.15,278,43027,741809.00,
500119,DHAMPUR SUGA,B ,Q,37.00,38.30,36.50,37.90,37.90,36.30,204,7233,273691.00,
500120,DIAMINES&CHM,B ,Q,30.90,30.95,29.50,30.55,30.50,27.40,52,1402,42587.00,
500123,ELANTAS     ,B ,Q,1161.50,1185.00,1158.00,1163.50,1166.00,1167.75,533,2970,3468589.00,
500124,DR.REDDY'S  ,A ,Q,3550.00,3695.00,3530.00,3679.30,3679.30,3526.60,4297,24645,89502481.00,
500125,E.I.D.PAR   ,A ,Q,173.50,176.00,171.70,171.85,172.90,171.60,241,9513,1648374.00,
500126,MERCK LTD   ,B ,Q,918.25,951.75,911.75,937.50,942.75,914.75,1772,10225,9585665.00,
500128,ELEC.CASTING,B ,Q,19.25,19.45,18.75,18.95,18.75,19.35,923,242172,4624154.00,
500132,EMPEE SUGARS,B ,Q,3.30,3.30,2.87,3.27,3.27,2.97,10,5400,17577.00,
500133,ESAB INDIA  ,B ,Q,697.25,697.25,670.00,676.75,670.00,677.25,32,301,204727.00,
500134,ESSAR OIL   ,A ,Q,113.20,113.20,110.00,110.25,110.50,110.05,724,37872,4201849.00,
500135,ESSEL PROP  ,B ,Q,123.10,123.90,120.50,120.70,120.60,123.00,458,17062,2076057.00,
500136,ESTER INDUS.,B ,Q,16.50,17.60,16.00,17.35,17.35,16.60,111,6878,116357.00,
500139,FEDDER.LLYOD,B ,Q,73.00,79.60,72.60,78.70,78.70,72.05,3155,155250,12028638.00,
500141,FERRO ALLOYS,B ,Q,4.16,4.50,4.16,4.39,4.44,4.19,98,15735,67272.00,
500142,FGP LTD.    ,B ,Q,1.90,1.90,1.90,1.90,1.90,1.97,2,200,380.00,
500144,FINOL. CABLE,A ,Q,288.00,298.15,286.00,292.55,292.55,289.05,1049,19961,5832078.00,
500147,CMI FPE     ,B ,Q,396.20,419.00,392.10,407.30,407.30,396.20,30,339,136057.00,
500148,UFLEX LTD   ,B ,Q,124.25,126.90,123.55,124.40,124.40,123.30,827,32006,4000713.00,
500150,FOSECO INDIA,B ,Q,1110.00,1137.00,1110.00,1135.00,1135.00,1113.75,20,45,51012.00,
500151,GOLDEN TOB  ,B ,Q,38.00,40.45,38.00,40.20,40.00,38.45,102,3137,124945.00,
500153,GANESH BENZO,B ,Q,8.00,8.45,7.95,8.35,8.35,7.93,122,19526,159071.00,
500155,GARDEN SILK ,B ,Q,26.90,27.05,25.80,26.50,26.50,26.25,80,3446,91992.00,
500159,METROGLOBL  ,B ,Q,68.35,68.35,59.50,68.30,68.30,66.80,30,1139,72835.00,
500160,GTL LTD.    ,B ,Q,15.30,16.30,14.95,15.96,15.96,14.82,2764,358837,5661027.00,
500162,PARRYSUGR   ,B ,Q,18.75,19.55,17.75,19.55,19.55,16.75,10,122,2282.00,
500163,GODFREY PH  ,B ,Q,450.50,458.00,450.50,453.45,453.45,443.65,330,1600,726362.00,
500164,GODREJ IND  ,A ,Q,359.00,362.40,351.20,360.55,360.55,358.70,2626,49359,17744874.00,
500165,KANSAI NERO ,B ,Q,223.50,225.00,218.95,224.10,224.10,218.70,888,21029,4707839.00,
500166,GOODRICKE   ,B ,Q,148.10,151.00,146.80,149.30,149.30,149.00,162,8770,1310849.00,
500168,GOODYEAR (I),B ,Q,545.00,572.50,545.00,556.00,561.75,543.50,429,4177,2346075.00,
500170,GTN INDUS   ,B ,Q,8.30,8.30,8.21,8.21,8.21,8.40,6,400,3311.00,
500171,GHCL LTD    ,B ,Q,66.00,68.00,66.00,66.70,66.00,65.60,895,44831,2996702.00,
500173,GUJ.FLOURO  ,B ,Q,720.00,720.00,704.00,716.80,718.90,708.75,382,2780,1992149.00,
500174,GUJ.LEASE   ,B ,Q,2.00,2.00,2.00,2.00,2.00,2.10,8,7115,14230.00,
500179,HCL INFOSYS ,B ,Q,53.35,54.75,52.60,54.05,54.05,53.30,5517,525007,28234807.00,
500180,HDFC BANK   ,A ,Q,1035.00,1036.50,1019.25,1031.30,1031.30,1033.85,4509,79185,81534268.00,
500182,HEROMOTOCO  ,A ,Q,2655.50,2678.00,2634.35,2671.80,2671.80,2655.60,2129,13860,36867350.00,
500183,HIMACHAL FUT,B ,Q,14.75,15.14,14.40,14.81,14.81,14.69,4128,1434145,21202176.00,
500184,HIMADRI CHEM,B ,Q,17.99,18.95,17.70,18.32,18.30,17.33,229,17461,319197.00,
500185,HIND.CONSTN.,A ,Q,33.15,33.75,32.60,33.40,33.40,33.05,8162,1951346,64825390.00,
500186,HIND.OIL EXP,B ,Q,38.65,40.20,38.30,39.60,39.60,38.65,5621,592407,23314427.00,
500187,HSIL        ,B ,Q,447.55,450.35,438.55,441.60,441.60,445.00,1294,12085,5374519.00,
500188,HINDUS.ZI   ,A ,Q,164.90,165.45,161.55,163.45,162.40,163.45,1454,91209,14816916.00,
500189,HINDUJA VENT,B ,Q,418.00,442.00,416.00,435.00,435.00,416.60,1395,19362,8317950.00,
500191,HMT LTD.    ,B ,Q,43.50,44.30,42.80,43.45,43.45,43.10,1579,96516,4201833.00,
500192,PRAG BOSIMI ,T ,Q,4.99,5.00,4.99,5.00,5.00,4.77,20,9509,47464.00,
500193,HOTEL LEELA.,B ,Q,19.10,19.50,19.10,19.35,19.30,19.05,346,35806,689878.00,
500199,I.G.PETRO   ,B ,Q,57.00,59.50,57.00,58.90,58.90,56.50,99,7750,452498.00,
500201,IND.GLYCOLS ,B ,Q,87.10,102.35,85.80,100.45,100.45,86.50,4388,188674,18180737.00,
500202,IND.LEAS.DEV,T ,Q,12.29,12.29,12.29,12.29,12.29,11.71,2,83,1020.00,
500206,MARGO FIN   ,T ,Q,10.69,10.69,10.69,10.69,10.69,10.90,6,374,3998.00,
500207,INDO RAMA   ,B ,Q,19.35,19.35,18.85,18.95,19.00,19.05,41,11230,213210.00,
500209,INFOSYS LTD ,A ,Q,2178.00,2185.00,2162.00,2177.20,2177.20,2172.25,6408,58059,126083239.00,
500210,INGERSOLL   ,B ,Q,1014.50,1095.00,1004.10,1075.75,1077.00,1000.50,3922,24565,26173736.00,
500211,INSILCO LTD.,T ,Q,18.45,18.70,17.50,17.60,17.60,18.15,121,33408,589401.00,
500213,INTER.TRAVEL,B ,Q,258.80,258.80,250.10,253.60,253.60,254.40,136,3885,984393.00,
500214,ION EXCHANGE,T ,Q,273.20,279.00,267.60,272.60,272.00,267.60,134,3034,831052.00,
500215,AGRO TECH FO,B ,Q,629.00,632.00,621.50,625.25,625.00,626.50,490,2740,1715801.00,
