SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1340.00,1393.80,1337.70,1377.70,1380.30,1331.95,2172,12887,17694863.00,
500003,AEGIS LOGIS ,B ,Q,709.00,714.00,690.25,696.50,696.50,691.25,1112,5784,4050255.00,
500008,AMAR RAJA BA,A ,Q,800.10,814.00,792.00,800.85,800.00,794.00,1524,11162,8951261.00,
500009,A.SARABHAI  ,B ,Q,5.39,5.40,4.85,4.85,4.85,4.79,62,6586,32746.00,
500010,HDFC        ,A ,Q,1178.00,1205.50,1173.70,1202.30,1202.30,1169.40,9612,863660,1033574415.00,
500012,ANDHRA PETRO,B ,Q,13.35,13.35,12.63,12.70,12.70,12.85,156,26263,336409.00,
500013,ANSAL INFRAS,B ,Q,23.50,25.20,23.50,24.85,24.85,23.30,481,66131,1617493.00,
500014,APPLE FINANC,B ,Q,1.85,2.00,1.70,1.76,1.80,1.85,82,14981,27697.00,
500020,BOM DYEING  ,B ,Q,65.00,66.70,64.70,66.40,66.40,64.45,2388,225698,14852291.00,
500023,ASIANHOTNR  ,B ,Q,103.50,108.90,96.60,104.30,104.40,103.50,66,738,74487.00,
500024,ASSAMCO     ,B ,Q,4.09,4.24,4.04,4.15,4.21,4.05,132,79193,330091.00,
500027,ATUL LTD.   ,A ,Q,1145.00,1186.00,1130.85,1163.95,1167.90,1157.20,1142,8431,9793253.00,
500028,ATV PROJECTS,T ,Q,3.14,3.46,3.14,3.25,3.33,3.30,52,5630,18780.00,
500029,AUTOLITE(I) ,B ,Q,38.35,41.00,35.00,37.05,37.05,35.65,74,6431,238072.00,
500030,AUTORID.FIN ,T ,Q,0.82,0.82,0.76,0.76,0.76,0.79,12,1201,975.00,
500031,BAJAJ ELECT.,A ,Q,237.15,238.10,234.20,235.25,235.25,235.55,1646,36263,8566574.00,
500032,BAJAJHIND   ,B ,Q,17.30,17.55,16.00,16.30,16.30,17.19,1918,474033,7842076.00,
500033,FORCE MOTR  ,B ,Q,1650.00,1690.25,1645.00,1678.00,1678.00,1628.75,7960,108807,181446293.00,
500034,BAJFINANCE  ,A ,Q,4002.05,4250.00,3941.45,4205.85,4250.00,4009.45,842,2301,9386623.00,
500038,BALRAM.CHINI,A ,Q,46.05,46.50,44.30,44.95,44.95,45.70,1006,99048,4486891.00,
500039,BANCO PROD. ,B ,Q,126.50,128.70,123.60,125.10,124.00,126.10,171,3624,458573.00,
500040,CENTURY TEXT,A ,Q,733.00,754.00,706.10,746.50,746.50,731.55,20866,435361,318204826.00,
500041,BANNARI AMAN,B ,Q,888.75,905.00,855.25,883.00,861.00,899.75,16,49,43330.00,
500042,BASF INDIA  ,B ,Q,1119.85,1152.75,1090.00,1144.35,1144.35,1110.20,1255,5895,6694017.00,
500043,BATA INDIA  ,A ,Q,1023.00,1054.40,1023.00,1035.85,1040.00,1019.65,2575,23616,24572589.00,
500048,BEML LTD    ,A ,Q,991.60,1013.95,987.15,1000.15,1000.15,977.75,3970,29584,29604938.00,
500049,BHARAT ELECT,A ,Q,3130.00,3177.00,3097.60,3134.75,3134.75,3081.05,3971,18132,56921850.00,
500051,BHAG GAS    ,Z ,Q,0.97,1.02,0.97,1.02,1.02,1.02,5,1948,1894.00,
500052,BHANSALI ENG,B ,Q,18.05,18.10,18.05,18.10,18.10,18.55,4,2,36.00,
500055,BHUSH STEEL ,A ,Q,63.00,63.60,62.25,62.85,62.85,61.25,1614,84263,5302074.00,
500057,ABCIL       ,B ,Q,217.90,217.90,214.10,215.50,215.50,214.30,52,2625,565494.00,
500058,BIHAR SPONGE,T ,Q,3.05,3.05,2.90,2.90,2.90,2.91,42,7993,23914.00,
500059,BINANI IND. ,B ,Q,94.25,95.70,93.55,95.15,95.15,93.55,224,6883,653570.00,
500060,BIRLA ERIC. ,T ,Q,62.75,64.00,60.60,63.40,63.40,62.85,60,4023,253016.00,
500067,BLUE STAR   ,B ,Q,308.90,310.00,305.15,306.60,307.50,305.55,507,7070,2172473.00,
500068,DISA INDIA  ,B ,Q,5150.00,5200.00,5051.00,5078.00,5100.00,5044.00,31,28,142283.00,
500069,BNK CAPITAL ,B ,Q,35.00,35.95,32.70,33.00,32.70,34.85,30,576,20098.00,
500074,BPL LTD.    ,B ,Q,30.00,31.30,29.00,30.75,30.75,28.80,923,52779,1593640.00,
500078,CAMPH.& ALL ,B ,Q,254.70,268.70,254.70,268.10,268.70,261.40,73,1022,268190.00,
500083,CENTURY EXT ,B ,Q,1.42,1.47,1.42,1.44,1.47,1.43,20,1163,1662.00,
500084,CESC LTD.   ,A ,Q,554.25,554.25,541.75,547.95,547.95,547.65,2153,14657,8024039.00,
500085,CHAMBAL FERT,B ,Q,63.00,66.25,61.60,65.85,65.85,64.25,2526,147257,9434737.00,
500086,EXIDE IND.  ,A ,Q,170.05,171.90,160.05,162.20,162.20,171.20,12607,584412,95372877.00,
500087,CIPLA LTD.  ,A ,Q,640.00,681.00,640.00,674.00,674.00,637.05,13852,248766,165062749.00,
500089,DIC INDIA   ,B ,Q,408.10,410.00,407.00,408.60,408.00,409.00,115,1016,415677.00,
500092,CRISIL LTD  ,A ,Q,2002.85,2025.00,1956.15,2003.80,1996.00,1981.35,1838,6726,13420018.00,
500093,CROMPT.GREAV,A ,Q,169.05,171.60,169.05,169.95,169.80,168.70,2025,131580,22378797.00,
500096,DABUR (I)   ,A ,Q,251.10,263.75,251.10,261.40,261.40,251.95,2310,66179,17127071.00,
500097,DALMIASUG   ,B ,Q,18.30,19.10,18.30,19.00,19.00,18.55,16,3008,56198.00,
500101,ARVIND Ltd  ,A ,Q,254.80,273.55,254.80,272.30,272.30,254.50,5940,186884,49961065.00,
500102,BALARPUR IND,B ,Q,13.80,14.29,13.80,13.93,13.93,13.80,454,99432,1395687.00,
500103,BHEL        ,A ,Q,240.00,247.00,238.30,245.00,245.00,237.20,8216,321928,78010447.00,
500104,HIND.PETRO  ,A ,Q,637.20,637.85,617.40,630.50,630.50,624.85,6663,130609,81815823.00,
500106,IFCI LTD    ,A ,Q,33.75,34.30,33.60,34.10,34.10,33.50,1247,387698,13169714.00,
500108,MAHA.TELE   ,B ,Q,18.30,18.65,18.25,18.40,18.40,18.20,699,112561,2075064.00,
500109,MRPL        ,A ,Q,70.00,72.25,69.80,70.20,70.50,70.00,1007,38964,2755785.00,
500110,CHENNAI PET.,B ,Q,94.00,94.80,91.45,92.55,92.55,91.10,2559,93323,8701827.00,
500111,REL.CAP.    ,A ,Q,407.00,416.00,405.90,414.00,414.00,403.90,11472,320866,132354344.00,
500112,STATE BANK  ,A ,Q,274.00,278.00,271.50,277.30,277.30,270.05,19716,872315,239733418.00,
500113,STEEL AUTH. ,A ,Q,70.00,72.30,69.60,71.50,71.50,69.55,4377,305734,21765076.00,
500114,TITAN       ,A ,Q,383.05,394.00,382.40,385.95,385.95,382.80,2946,50662,19670676.00,
500116,IDBI BANK L ,A ,Q,75.05,77.00,74.90,76.75,76.75,74.60,4383,552533,42035301.00,
500117,DCW LTD.    ,B ,Q,18.05,18.45,17.95,18.10,18.10,17.80,327,61055,1106881.00,
500119,DHAMPUR SUGA,B ,Q,36.00,36.50,35.30,35.50,35.50,36.20,228,12435,444740.00,
500120,DIAMINES&CHM,B ,Q,30.50,32.00,30.00,31.60,31.60,30.75,32,2706,84012.00,
500123,ELANTAS     ,B ,Q,1180.00,1199.00,1176.25,1181.50,1180.00,1171.75,179,1215,1442332.00,
500124,DR.REDDY'S  ,A ,Q,3360.00,3410.00,3319.70,3396.40,3396.40,3308.20,2476,13070,44149104.00,
500125,E.I.D.PAR   ,A ,Q,165.90,171.60,165.00,169.65,169.65,163.40,850,17007,2879395.00,
500126,MERCK LTD   ,B ,Q,842.50,852.75,836.00,848.75,849.75,839.25,522,2887,2436149.00,
500128,ELEC.CASTING,B ,Q,18.40,18.85,17.50,18.65,18.65,18.00,1013,181446,3343360.00,
