SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1336.20,1363.45,1306.80,1314.00,1314.00,1329.45,2694,14580,19442114.00,
500003,AEGIS LOGIS ,B ,Q,557.30,575.00,538.00,544.10,544.10,556.30,3596,35920,19850581.00,
500008,AMAR RAJA BA,A ,Q,849.50,866.20,845.00,853.10,853.10,848.15,1282,9554,8174979.00,
500009,A.SARABHAI  ,B ,Q,3.95,4.19,3.93,4.05,4.05,3.96,14,2543,10079.00,
500010,HDFC        ,A ,Q,1317.00,1338.00,1310.15,1322.25,1322.00,1312.80,5133,58488,77397213.00,
500012,ANDHRA PETRO,B ,Q,10.30,10.75,10.30,10.37,10.40,10.51,68,17998,187993.00,
500013,ANSAL INFRAS,B ,Q,27.50,27.50,26.50,26.80,26.70,27.05,159,17719,481288.00,
500014,APPLE FINANC,B ,Q,2.87,2.87,2.50,2.50,2.50,2.55,63,23858,60376.00,
500020,BOM DYEING  ,B ,Q,78.00,79.30,75.85,76.20,76.20,76.65,7894,689142,53430263.00,
500023,ASIANHOTNR  ,B ,Q,106.20,110.00,103.00,107.40,110.00,106.90,35,241,25445.00,
500024,ASSAMCO     ,B ,Q,4.57,4.60,4.50,4.51,4.51,4.53,206,140127,634248.00,
500027,ATUL LTD.   ,A ,Q,1275.00,1276.10,1250.00,1256.45,1255.00,1274.55,881,4845,6139070.00,
500028,ATV PROJECTS,T ,Q,2.64,2.86,2.64,2.69,2.69,2.76,31,5596,14879.00,
500029,AUTOLITE(I) ,B ,Q,32.00,32.00,31.00,31.00,31.00,32.50,35,2905,91573.00,
500030,AUTORID.FIN ,T ,Q,0.77,0.77,0.77,0.77,0.77,0.77,2,100,77.00,
500031,BAJAJ ELECT.,A ,Q,215.90,217.30,213.25,214.40,214.40,214.40,1056,123001,26604840.00,
500032,BAJAJHIND   ,B ,Q,17.10,17.15,16.80,16.90,16.90,17.00,683,367821,6258847.00,
500033,FORCE MOTR  ,B ,Q,1367.00,1377.00,1342.00,1350.50,1350.50,1357.00,3885,54514,73999773.00,
500034,BAJFINANCE  ,A ,Q,4179.75,4200.00,4090.10,4151.60,4200.00,4186.45,490,19396,79898827.00,
500038,BALRAM.CHINI,A ,Q,56.00,56.00,54.70,54.75,54.95,55.70,3767,82357,4536403.00,
500039,BANCO PROD. ,B ,Q,110.00,113.80,102.00,110.60,110.60,107.60,1342,37858,4052965.00,
500040,CENTURY TEXT,A ,Q,555.00,578.45,550.10,572.90,572.90,552.15,17149,416082,236295756.00,
500041,BANNARI AMAN,B ,Q,1060.00,1060.00,1001.25,1009.00,1001.25,1068.75,36,151,155967.00,
500042,BASF INDIA  ,B ,Q,1148.00,1175.70,1140.00,1160.10,1159.80,1140.70,676,2824,3259782.00,
500043,BATA INDIA  ,A ,Q,1227.45,1236.00,1207.95,1221.00,1221.00,1223.85,1647,11703,14317342.00,
500048,BEML LTD    ,A ,Q,1020.00,1038.00,1008.85,1012.75,1012.75,1019.55,4098,42593,43500112.00,
500049,BHARAT ELECT,A ,Q,3340.00,3454.00,3296.55,3355.40,3355.40,3315.80,15511,62940,212056633.00,
500052,BHANSALI ENG,B ,Q,22.50,22.50,21.60,22.45,22.25,22.25,37,4163,92968.00,
500055,BHUSH STEEL ,A ,Q,90.15,90.15,87.05,87.40,87.40,88.75,1094,54432,4803053.00,
500057,ABCIL       ,B ,Q,221.40,222.40,218.30,221.10,221.10,221.00,410,4227,928396.00,
500058,BIHAR SPONGE,T ,Q,2.75,2.82,2.56,2.57,2.56,2.69,61,4525,12095.00,
500059,BINANI IND. ,B ,Q,102.00,102.60,101.00,101.10,101.10,101.80,190,4993,505839.00,
500060,BIRLA ERIC. ,T ,Q,59.10,59.10,56.10,56.75,56.10,59.05,142,13840,796222.00,
500067,BLUE STAR   ,B ,Q,328.00,330.00,319.00,320.45,320.45,324.55,853,8351,2698430.00,
500068,DISA INDIA  ,B ,Q,5056.00,5099.00,5051.00,5075.00,5075.00,5152.00,46,80,405729.00,
500069,BNK CAPITAL ,B ,Q,35.05,39.95,35.05,38.00,38.00,35.65,38,2870,105229.00,
500074,BPL LTD.    ,B ,Q,35.75,36.35,34.20,34.30,34.30,35.50,1814,102019,3557642.00,
500078,CAMPH.& ALL ,B ,Q,270.00,271.90,268.50,271.00,271.00,269.70,34,2386,643898.00,
500083,CENTURY EXT ,B ,Q,1.56,1.60,1.55,1.60,1.60,1.55,49,9603,15109.00,
500084,CESC LTD.   ,A ,Q,608.00,624.50,589.10,592.60,592.60,595.20,11717,149675,91131650.00,
500085,CHAMBAL FERT,B ,Q,66.50,66.55,65.20,65.90,66.10,66.05,920,58722,3872659.00,
500086,EXIDE IND.  ,A ,Q,183.00,185.70,182.40,183.45,183.45,181.95,5845,263417,48485567.00,
500087,CIPLA LTD.  ,A ,Q,733.00,736.80,713.05,717.80,717.80,729.70,7107,264325,189872243.00,
500089,DIC INDIA   ,B ,Q,350.00,350.00,347.10,347.50,347.50,348.50,23,1660,580933.00,
500092,CRISIL LTD  ,A ,Q,2070.00,2074.95,2020.00,2031.50,2031.50,2084.60,2992,6444,13141152.00,
500093,CROMPT.GREAV,A ,Q,177.00,179.55,174.30,175.40,175.40,176.35,6206,299856,52883975.00,
500096,DABUR (I)   ,A ,Q,266.00,270.90,261.20,266.50,266.50,265.65,4629,180702,48332244.00,
500097,DALMIASUG   ,B ,Q,20.75,20.75,19.25,19.45,19.25,19.70,32,2395,46783.00,
500101,ARVIND Ltd  ,A ,Q,300.00,304.00,293.80,294.55,294.55,300.35,6382,228704,68154967.00,
500102,BALARPUR IND,B ,Q,15.00,15.00,14.51,14.52,14.52,14.72,380,150456,2195244.00,
500103,BHEL        ,A ,Q,259.00,262.60,255.80,257.65,257.65,259.30,8649,308094,79739704.00,
500104,HIND.PETRO  ,A ,Q,635.00,644.00,616.15,618.40,618.40,635.80,5872,89571,56186244.00,
500106,IFCI LTD    ,A ,Q,36.00,36.30,35.35,35.55,35.55,35.95,3731,898593,32179999.00,
500108,MAHA.TELE   ,B ,Q,25.70,25.75,20.90,21.05,21.05,25.95,16842,4023938,89497068.00,
500109,MRPL        ,A ,Q,68.50,69.80,67.05,68.10,68.10,69.15,1300,94914,6478109.00,
500110,CHENNAI PET.,B ,Q,74.20,75.10,73.25,73.90,74.00,73.70,1436,42257,3134277.00,
500111,REL.CAP.    ,A ,Q,448.00,450.00,440.60,441.70,441.70,447.85,22619,547295,242888063.00,
500112,STATE BANK  ,A ,Q,288.55,291.00,284.15,285.15,285.15,287.60,38450,2164441,620642284.00,
500113,STEEL AUTH. ,A ,Q,67.05,67.20,65.50,66.10,66.10,67.00,3145,293448,19403883.00,
500114,TITAN       ,A ,Q,407.00,407.95,398.10,399.75,399.75,404.20,2148,59650,23993127.00,
500116,IDBI BANK L ,A ,Q,73.95,77.70,73.30,76.20,76.20,74.00,6817,786681,59529331.00,
500117,DCW LTD.    ,B ,Q,18.30,18.30,17.80,18.10,18.10,18.05,273,81583,1475595.00,
500119,DHAMPUR SUGA,B ,Q,38.50,39.20,38.45,39.00,39.00,39.15,142,6956,270820.00,
500120,DIAMINES&CHM,B ,Q,32.30,32.30,28.00,30.75,31.20,29.00,25,2556,77279.00,
500123,ELANTAS     ,B ,Q,1176.00,1176.50,1151.50,1157.50,1157.75,1149.25,419,3044,3547602.00,
500124,DR.REDDY'S  ,A ,Q,3440.00,3527.55,3373.00,3470.75,3470.75,3434.10,3565,14848,51401018.00,
500125,E.I.D.PAR   ,A ,Q,179.70,180.80,176.10,176.75,176.75,179.15,243,6064,1082360.00,
500126,MERCK LTD   ,B ,Q,890.00,947.00,890.00,917.00,917.00,887.50,5122,38567,35746694.00,
500128,ELEC.CASTING,B ,Q,22.50,23.80,21.65,21.95,21.95,22.40,3977,642714,14422780.00,
500132,EMPEE SUGARS,B ,Q,3.20,3.21,2.75,3.15,3.15,3.21,68,18192,54940.00,
500133,ESAB INDIA  ,B ,Q,710.00,710.00,702.00,710.00,710.00,700.00,12,685,485468.00,
500134,ESSAR OIL   ,A ,Q,104.40,105.90,103.65,103.90,104.00,104.40,550,30423,3168922.00,
500135,ESSEL PROP  ,B ,Q,116.50,117.70,116.10,117.10,117.10,116.90,264,7621,891087.00,
500136,ESTER INDUS.,B ,Q,19.50,20.10,18.75,18.75,18.75,19.90,115,23980,463089.00,
500139,FEDDER.LLYOD,B ,Q,68.45,68.65,67.00,67.15,67.15,67.45,136,10044,679005.00,
500141,FERRO ALLOYS,B ,Q,5.14,5.15,5.01,5.02,5.02,4.98,108,68493,346923.00,
500142,FGP LTD.    ,B ,Q,2.52,2.77,2.52,2.77,2.77,2.65,6,123,312.00,
500144,FINOL. CABLE,A ,Q,268.50,270.00,266.75,269.25,269.00,268.15,624,11196,3001671.00,
500147,CMI FPE     ,B ,Q,434.00,434.00,402.00,410.00,410.00,413.10,12,48,19872.00,
500148,UFLEX LTD   ,B ,Q,131.00,132.50,128.10,128.70,128.70,131.70,1301,63901,8276578.00,
500150,FOSECO INDIA,B ,Q,1240.00,1240.00,1215.00,1215.50,1215.00,1230.25,60,182,222250.00,
500151,GOLDEN TOB  ,B ,Q,45.70,45.70,43.10,43.30,43.10,43.75,115,2446,106625.00,
500153,GANESH BENZO,B ,Q,7.15,7.40,7.00,7.14,7.14,7.15,63,12837,91557.00,
500155,GARDEN SILK ,B ,Q,28.00,30.05,27.80,28.85,28.60,28.20,211,13791,405917.00,
500159,METROGLOBL  ,B ,Q,64.05,68.80,64.05,66.40,68.80,68.50,44,1758,114404.00,
500160,GTL LTD.    ,B ,Q,15.15,15.50,14.70,14.85,14.85,15.10,415,34988,526454.00,
500162,PARRYSUGR   ,B ,Q,21.00,21.00,17.05,19.00,19.00,19.40,30,2568,50638.00,
500163,GODFREY PH  ,B ,Q,477.95,481.95,470.50,475.35,474.25,474.65,621,3539,1682801.00,
500164,GODREJ IND  ,A ,Q,324.00,330.65,324.00,328.60,328.60,328.45,1380,25677,8429064.00,
500165,KANSAI NERO ,B ,Q,2257.55,2282.95,2235.05,2247.60,2238.00,2261.00,283,1283,2893712.00,
500166,GOODRICKE   ,B ,Q,154.30,156.70,152.00,153.80,154.00,154.10,421,19324,2968650.00,
500168,GOODYEAR (I),B ,Q,574.00,574.00,558.00,563.00,562.00,563.00,418,14657,8236726.00,
500170,GTN INDUS   ,B ,Q,10.20,10.20,8.85,9.15,9.15,10.00,83,7310,68209.00,
500171,GHCL LTD    ,B ,Q,66.50,66.50,64.40,64.65,64.65,66.20,770,42052,2727874.00,
500173,GUJ.FLOURO  ,B ,Q,790.00,797.90,754.80,760.50,760.50,768.25,3677,34659,26887023.00,
500174,GUJ.LEASE   ,B ,Q,2.53,2.77,2.53,2.70,2.70,2.69,15,4162,10793.00,
500179,HCL INFOSYS ,B ,Q,56.05,59.60,56.05,58.80,58.80,55.95,14316,1392024,80935445.00,
500180,HDFC BANK   ,A ,Q,1052.00,1061.75,1050.25,1056.20,1056.20,1052.75,9278,361480,381454600.00,
500182,HEROMOTOCO  ,A ,Q,2616.00,2624.20,2595.00,2617.00,2617.00,2620.55,4440,29805,77878776.00,
500183,HIMACHAL FUT,B ,Q,16.10,16.20,15.65,15.90,15.90,16.00,1639,1042455,16538984.00,
500184,HIMADRI CHEM,B ,Q,18.05,18.05,17.00,17.95,17.95,18.10,128,5808,103355.00,
500185,HIND.CONSTN.,A ,Q,34.20,34.90,33.60,33.90,33.90,34.10,6513,1102477,37848115.00,
500186,HIND.OIL EXP,B ,Q,45.25,45.60,43.10,43.40,43.40,45.15,4391,439625,19380266.00,
500187,HSIL        ,B ,Q,415.75,416.75,403.35,408.10,408.10,412.85,789,8043,3289713.00,
500188,HINDUS.ZI   ,A ,Q,173.00,173.00,169.00,169.80,169.50,170.45,1153,33808,5745010.00,
500189,HINDUJA VENT,B ,Q,365.00,368.00,356.50,362.60,362.60,368.40,465,4763,1735623.00,
500191,HMT LTD.    ,B ,Q,54.75,54.75,47.30,48.35,48.35,54.35,4837,298104,14973012.00,
500192,PRAG BOSIMI ,T ,Q,5.00,5.00,4.81,4.81,4.81,5.05,6,2000,9810.00,
500193,HOTEL LEELA.,B ,Q,21.95,22.00,21.10,21.25,21.25,21.85,454,53017,1134651.00,
500199,I.G.PETRO   ,B ,Q,52.35,52.35,51.30,51.90,51.80,50.65,95,4590,238687.00,
500201,IND.GLYCOLS ,B ,Q,92.05,95.45,90.45,90.75,90.90,92.75,788,31959,2943437.00,
500202,IND.LEAS.DEV,T ,Q,9.78,9.78,9.78,9.78,9.78,10.29,6,1200,11736.00,
500206,MARGO FIN   ,T ,Q,11.80,11.80,11.58,11.58,11.58,11.81,22,1900,22024.00,
500207,INDO RAMA   ,B ,Q,20.00,20.05,20.00,20.05,20.05,20.00,18,1076,21566.00,
500209,INFOSYS LTD ,A ,Q,2190.00,2240.00,2172.60,2183.60,2183.60,2200.10,10867,127073,280896123.00,
500210,INGERSOLL   ,B ,Q,1004.00,1004.00,974.00,980.00,979.30,988.05,477,2906,2855940.00,
500211,INSILCO LTD.,T ,Q,16.70,16.70,16.20,16.20,16.20,16.50,43,8352,137702.00,
500212,INTEG.FIN.SE,T ,Q,13.26,13.26,13.26,13.26,13.26,13.85,5,600,7956.00,
500213,INTER.TRAVEL,B ,Q,253.80,254.70,250.00,250.20,250.00,254.10,107,1707,428978.00,
500214,ION EXCHANGE,T ,Q,304.00,304.00,290.00,293.00,297.70,298.50,191,7889,2323506.00,
500215,AGRO TECH FO,B ,Q,677.25,682.00,670.00,673.75,673.75,676.25,470,1597,1077537.00,
500219,JAIN IRRIG  ,A ,Q,65.75,66.15,64.65,65.00,65.00,65.40,3724,273023,17827444.00,
500220,JASCH INDUST,B ,Q,25.00,25.00,23.10,24.00,24.00,24.35,27,1480,35938.00,
500222,JCT ELECTRON,B ,Q,0.58,0.58,0.49,0.52,0.54,0.54,469,25006,13239.00,
500223,JCT LTD     ,B ,Q,3.33,3.50,3.31,3.32,3.31,3.37,108,29144,96853.00,
500227,JINDAL POLYF,B ,Q,220.00,224.00,214.10,215.50,215.50,221.70,2509,45298,9949836.00,
500228,JSWSL       ,A ,Q,947.00,950.00,927.85,930.30,930.30,944.85,6805,72803,68104975.00,
500231,UMANG DAIR  ,B ,Q,64.30,64.30,61.15,61.70,61.50,62.80,155,8685,541224.00,
500233,KAJARIA CER.,A ,Q,770.65,787.20,762.50,764.45,764.45,768.90,545,3871,2984905.00,
500234,KAKATIYA CEM,B ,Q,127.50,129.00,122.00,122.80,122.30,125.50,86,2632,328938.00,
500235,KALYANI STEL,B ,Q,140.30,152.00,137.50,151.10,151.10,139.40,5344,211174,31141160.00,
500236,KANELIND    ,B ,Q,11.60,12.00,11.17,11.38,11.91,11.75,260,14086,159640.00,
500238,WHIRLPOOL   ,B ,Q,693.40,724.50,685.60,703.35,703.35,690.70,4692,49310,34997416.00,
500239,KG DENIM    ,B ,Q,24.85,24.95,23.35,23.50,23.50,24.15,233,28302,679480.00,
500240,KINETIC ENG.,B ,Q,50.35,53.75,50.00,50.10,50.05,50.85,120,4453,224495.00,
500241,KIRL.BROS.  ,B ,Q,188.00,188.50,182.80,184.90,184.10,188.10,277,5181,957180.00,
500243,KIRL INDUS  ,B ,Q,540.00,540.00,540.00,540.00,540.00,550.00,6,12,6480.00,
500245,KIRL.FERROUS,B ,Q,54.90,55.00,53.05,53.75,53.50,54.50,398,65245,3527795.00,
500246,ENVAIN ELECT,B ,Q,17.20,17.20,17.00,17.00,17.00,17.00,4,300,5140.00,
500247,KOTAK MAH.BK,A ,Q,1352.00,1384.00,1340.50,1377.05,1377.05,1346.65,4017,55525,75867912.00,
500249,KSB PUMPS   ,B ,Q,689.00,713.50,679.25,686.25,680.00,702.00,485,1822,1270302.00,
500250,L.G.BALKRISH,B ,Q,520.00,535.00,513.00,518.75,517.75,512.50,95,409,213663.00,
500251,TRENT LTD.  ,A ,Q,1474.95,1495.00,1417.00,1466.10,1472.00,1471.40,966,2677,3881240.00,
500252,LAKSHMI MACH,A ,Q,3777.90,3777.90,3706.60,3717.55,3717.55,3747.90,303,788,2937774.00,
500253,LIC HOUS.FIN,A ,Q,471.00,473.35,462.00,466.90,466.90,469.45,7976,199881,93500811.00,
500254,UTTAMVALUE  ,B ,Q,5.02,5.25,5.02,5.10,5.10,5.27,79,15896,81935.00,
500255,LML LTD.    ,B ,Q,8.20,8.26,7.90,7.96,7.90,8.03,345,67854,547994.00,
500256,LOK.HOUS&CON,B ,Q,13.00,13.00,11.15,11.38,11.38,12.13,364,55160,650760.00,
500257,LUPIN LTD.  ,A ,Q,1899.00,1902.55,1859.90,1872.20,1872.20,1901.50,7037,52817,98988644.00,
500259,LYKA LABS   ,B ,Q,45.50,46.00,42.20,43.05,43.50,45.10,380,36008,1567213.00,
500260,RAMCOCEM    ,A ,Q,329.85,331.00,325.25,327.50,328.00,327.40,1518,12379,4065629.00,
500264,MAFATLAL IND,B ,Q,171.90,172.00,162.00,170.20,170.20,165.40,65,1428,243049.00,
500265,MAH.SEAMLESS,B ,Q,208.25,210.00,205.25,209.10,209.10,208.60,305,8866,1851503.00,
500266,MAH.SCOOTER ,B ,Q,847.25,858.00,840.50,853.50,858.00,841.25,488,2264,1921856.00,
500267,MAJESTIC AUT,B ,Q,63.85,63.85,57.25,59.00,58.40,60.00,47,1217,72385.00,
500268,MANALI PETRO,B ,Q,15.75,15.90,15.40,15.50,15.50,15.70,407,99474,1550985.00,
500271,MAX INDIA   ,A ,Q,456.50,471.30,450.00,462.80,462.80,455.80,3583,149539,68178779.00,
500277,MID INDIA IN,T ,Q,2.50,2.50,2.50,2.50,2.50,2.42,2,100,250.00,
500279,MIRC ELECT  ,B ,Q,10.90,11.00,10.60,10.73,10.88,10.81,242,24307,260344.00,
500280,CENTURY ENKA,B ,Q,158.30,159.70,156.00,156.60,157.40,158.50,906,23311,3668644.00,
500284,LORDS CHLORO,T ,Q,17.00,18.50,17.00,17.20,17.20,17.65,10,108,1905.00,
500285,SPICEJET LTD,B ,Q,20.60,21.60,20.60,21.40,21.40,20.75,8049,3911240,82744417.00,
500288,MOREPEN LAB.,B ,Q,13.60,13.98,12.45,12.56,12.56,13.45,5089,936048,12089574.00,
