SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1329.20,1340.00,1316.00,1331.95,1339.00,1339.60,1359,4929,6548283.00,
500003,AEGIS LOGIS ,B ,Q,714.00,729.00,689.00,691.25,691.25,716.25,2228,14869,10495636.00,
500008,AMAR RAJA BA,A ,Q,795.00,797.00,778.00,794.00,795.30,798.20,1464,12269,9647935.00,
500009,A.SARABHAI  ,B ,Q,4.71,4.80,4.71,4.79,4.79,4.90,15,1520,7223.00,
500010,HDFC        ,A ,Q,1218.55,1218.55,1161.80,1169.40,1169.40,1201.80,16135,198426,232430257.00,
500012,ANDHRA PETRO,B ,Q,12.71,13.24,12.50,12.85,12.85,13.03,199,57075,722333.00,
500013,ANSAL INFRAS,B ,Q,22.75,23.45,22.75,23.30,22.85,23.10,336,23027,536448.00,
500014,APPLE FINANC,B ,Q,1.90,1.90,1.85,1.85,1.85,1.91,54,9465,17924.00,
500020,BOM DYEING  ,B ,Q,65.80,65.80,63.75,64.45,64.45,65.15,1916,235046,15119779.00,
500023,ASIANHOTNR  ,B ,Q,103.90,103.90,103.50,103.50,103.50,104.90,4,11,1142.00,
500024,ASSAMCO     ,B ,Q,4.06,4.14,4.03,4.05,4.09,4.11,160,95391,388522.00,
500027,ATUL LTD.   ,A ,Q,1279.00,1279.00,1111.20,1157.20,1157.20,1260.40,7039,32990,38387297.00,
500028,ATV PROJECTS,T ,Q,3.40,3.40,3.13,3.30,3.38,3.28,20,2055,6671.00,
500029,AUTOLITE(I) ,B ,Q,35.00,35.70,35.00,35.65,35.70,35.75,39,4420,155471.00,
500030,AUTORID.FIN ,T ,Q,0.73,0.79,0.73,0.79,0.79,0.76,12,1451,1108.00,
500031,BAJAJ ELECT.,A ,Q,229.60,239.00,227.30,235.55,235.55,229.35,2259,57879,13421359.00,
500032,BAJAJHIND   ,B ,Q,17.60,17.78,17.05,17.19,17.19,17.75,1428,300200,5225928.00,
500033,FORCE MOTR  ,B ,Q,1608.00,1644.00,1581.00,1628.75,1628.75,1611.50,7542,78962,127764879.00,
500034,BAJFINANCE  ,A ,Q,3999.00,4081.00,3960.00,4009.45,4009.45,4008.35,511,1594,6373737.00,
500038,BALRAM.CHINI,A ,Q,46.90,47.00,45.30,45.70,45.70,46.65,928,105174,4864681.00,
500039,BANCO PROD. ,B ,Q,124.10,127.00,124.10,126.10,127.00,126.60,75,1095,137257.00,
500040,CENTURY TEXT,A ,Q,713.70,738.50,702.80,731.55,731.55,709.15,16182,293225,211435369.00,
500041,BANNARI AMAN,B ,Q,899.50,899.75,899.50,899.75,899.75,895.00,6,11,9896.00,
500042,BASF INDIA  ,B ,Q,1099.00,1137.30,1097.10,1110.20,1110.20,1100.60,1787,8042,8959865.00,
500043,BATA INDIA  ,A ,Q,1021.00,1027.00,1005.40,1019.65,1019.65,1018.75,1965,99301,101247744.00,
500048,BEML LTD    ,A ,Q,952.00,995.00,935.05,977.75,977.75,965.90,6860,65911,63883161.00,
500049,BHARAT ELECT,A ,Q,3019.50,3109.00,2961.75,3081.05,3081.05,3001.85,5671,24724,74999651.00,
500051,BHAG GAS    ,Z ,Q,1.02,1.02,1.02,1.02,1.02,1.07,4,101,103.00,
500052,BHANSALI ENG,B ,Q,19.50,19.50,18.00,18.55,18.90,18.35,20,368,6815.00,
500055,BHUSH STEEL ,A ,Q,61.95,62.30,61.00,61.25,61.25,62.10,1149,65606,4034312.00,
500057,ABCIL       ,B ,Q,216.00,216.00,212.50,214.30,215.00,216.00,38,6711,1438516.00,
500058,BIHAR SPONGE,T ,Q,2.90,3.15,2.87,2.91,3.03,3.02,32,10205,29478.00,
500059,BINANI IND. ,B ,Q,93.20,94.15,92.80,93.55,93.50,93.25,192,8521,796576.00,
500060,BIRLA ERIC. ,T ,Q,62.50,63.90,61.00,62.85,62.40,62.35,56,3639,229184.00,
500067,BLUE STAR   ,B ,Q,304.85,317.40,302.05,305.55,307.00,307.40,653,4959,1527724.00,
500068,DISA INDIA  ,B ,Q,5498.00,5498.00,4852.00,5044.00,5100.00,4760.00,24,36,186309.00,
500069,BNK CAPITAL ,B ,Q,34.80,34.90,34.80,34.85,34.90,32.50,4,2,69.00,
500074,BPL LTD.    ,B ,Q,28.80,29.50,28.40,28.80,29.10,28.90,332,18683,541811.00,
500078,CAMPH.& ALL ,B ,Q,250.00,263.00,248.00,261.40,262.50,254.30,85,1874,484577.00,
500083,CENTURY EXT ,B ,Q,1.42,1.44,1.42,1.43,1.43,1.44,10,3261,4643.00,
500084,CESC LTD.   ,A ,Q,543.00,549.70,535.50,547.65,548.00,543.10,3107,25743,13986777.00,
500085,CHAMBAL FERT,B ,Q,67.00,67.75,60.00,64.25,64.25,66.15,2496,201682,13084999.00,
500086,EXIDE IND.  ,A ,Q,181.00,181.00,169.05,171.20,171.20,181.30,9782,431968,75253363.00,
500087,CIPLA LTD.  ,A ,Q,627.30,642.00,620.00,637.05,637.05,629.35,8259,198856,126141497.00,
