SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1394.05,1397.45,1370.00,1375.75,1375.75,1385.80,959,5493,7584280.00,
500003,AEGIS LOGIS ,B ,Q,458.00,546.80,452.00,546.80,546.80,455.70,12138,150003,77664552.00,
500008,AMAR RAJA BA,A ,Q,903.70,910.60,896.30,902.40,902.40,898.75,1083,9687,8734558.00,
500009,A.SARABHAI  ,B ,Q,4.00,4.74,4.00,4.40,4.40,4.18,130,20028,86737.00,
500010,HDFC        ,A ,Q,1370.00,1397.80,1364.40,1389.05,1389.05,1365.20,8698,136748,188921062.00,
500012,ANDHRA PETRO,B ,Q,11.17,11.17,10.92,10.99,10.96,10.93,83,30320,334409.00,
500013,ANSAL INFRAS,B ,Q,28.40,28.70,27.20,28.10,28.10,28.35,764,43315,1219790.00,
500014,APPLE FINANC,B ,Q,2.90,3.15,2.55,2.70,2.70,2.65,119,36395,100882.00,
500020,BOM DYEING  ,B ,Q,76.45,79.20,76.45,77.50,77.50,76.60,5161,475746,37037274.00,
500023,ASIANHOTNR  ,B ,Q,109.00,112.80,106.20,109.20,111.90,108.20,64,1192,130605.00,
500024,ASSAMCO     ,B ,Q,4.67,4.77,4.62,4.64,4.64,4.63,255,687488,3210659.00,
500027,ATUL LTD.   ,A ,Q,1285.00,1303.65,1262.90,1273.60,1265.00,1282.90,405,2058,2638064.00,
500028,ATV PROJECTS,T ,Q,2.69,2.85,2.68,2.81,2.81,2.72,37,5487,15463.00,
500029,AUTOLITE(I) ,B ,Q,33.95,34.05,33.95,33.95,33.95,32.55,10,2500,84910.00,
500031,BAJAJ ELECT.,A ,Q,218.00,220.00,215.60,218.50,218.50,218.20,1411,54442,11870449.00,
500032,BAJAJHIND   ,B ,Q,17.70,18.10,17.50,17.55,17.55,17.45,1599,453454,8029683.00,
500033,FORCE MOTR  ,B ,Q,1377.50,1440.00,1372.00,1413.50,1413.50,1376.00,10389,160606,225757079.00,
500034,BAJFINANCE  ,A ,Q,4334.10,4369.30,4308.00,4338.30,4338.30,4307.05,502,781,3386734.00,
500038,BALRAM.CHINI,A ,Q,58.00,60.85,57.90,58.30,58.30,58.05,1032,63719,3765351.00,
500039,BANCO PROD. ,B ,Q,118.10,123.00,116.80,117.10,116.90,117.60,480,9502,1138427.00,
500040,CENTURY TEXT,A ,Q,547.10,564.25,541.75,559.85,558.00,546.60,8739,131236,72752788.00,
500041,BANNARI AMAN,B ,Q,1125.00,1230.50,1080.00,1087.25,1087.25,1132.50,98,220,249908.00,
500042,BASF INDIA  ,B ,Q,1146.25,1174.00,1146.25,1166.05,1166.05,1149.45,663,2472,2870201.00,
500043,BATA INDIA  ,A ,Q,1240.00,1246.25,1227.00,1234.60,1236.00,1233.65,1430,15601,19286119.00,
500048,BEML LTD    ,A ,Q,1037.10,1060.00,1024.80,1039.00,1039.00,1031.05,10278,135056,140713388.00,
500049,BHARAT ELECT,A ,Q,3674.00,3698.90,3554.00,3574.75,3574.75,3652.90,12211,46630,168202945.00,
500052,BHANSALI ENG,B ,Q,22.05,22.95,20.85,22.80,22.20,21.00,119,87136,1839467.00,
500055,BHUSH STEEL ,A ,Q,92.05,95.80,90.75,91.90,91.90,92.60,5353,219837,20517702.00,
500057,ABCIL       ,B ,Q,232.00,232.00,225.00,226.90,226.00,232.50,145,4589,1052246.00,
500058,BIHAR SPONGE,T ,Q,2.62,2.62,2.59,2.60,2.60,2.71,23,6485,16958.00,
500059,BINANI IND. ,B ,Q,103.00,105.70,101.30,104.80,104.80,103.80,599,14696,1519334.00,
500060,BIRLA ERIC. ,T ,Q,60.00,61.90,59.10,60.25,60.25,60.85,80,5401,326854.00,
500067,BLUE STAR   ,B ,Q,316.00,317.50,312.00,314.70,314.70,314.30,405,3717,1166186.00,
500068,DISA INDIA  ,B ,Q,5300.00,5400.00,5300.00,5398.00,5400.00,5373.00,19,27,145019.00,
500069,BNK CAPITAL ,B ,Q,38.70,38.70,35.75,36.30,36.30,38.95,12,2350,88630.00,
500074,BPL LTD.    ,B ,Q,32.05,33.50,31.95,32.10,32.10,32.00,950,62815,2038111.00,
