SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1415.00,1415.00,1361.00,1379.15,1379.15,1393.65,2134,10321,14242428.00,
500003,AEGIS LOGIS ,B ,Q,750.00,807.00,750.00,771.00,771.00,742.00,10550,102299,79747763.00,
500008,AMAR RAJA BA,A ,Q,870.00,871.00,855.00,858.85,858.85,863.70,850,5272,4538637.00,
500009,A.SARABHAI  ,B ,Q,5.29,5.29,4.90,4.99,4.90,5.11,72,12913,64519.00,
500010,HDFC        ,A ,Q,1289.20,1308.00,1282.50,1303.90,1303.90,1291.40,5442,59764,77565526.00,
500012,ANDHRA PETRO,B ,Q,12.74,14.00,12.50,13.17,13.17,12.25,780,273870,3616223.00,
500013,ANSAL INFRAS,B ,Q,27.40,27.40,25.80,25.95,25.95,26.50,313,30346,791247.00,
500014,APPLE FINANC,B ,Q,2.49,2.49,2.15,2.17,2.17,2.23,45,9585,20912.00,
500020,BOM DYEING  ,B ,Q,71.80,74.70,70.80,73.85,73.85,71.60,7029,608103,44500947.00,
500023,ASIANHOTNR  ,B ,Q,113.00,113.00,105.20,106.10,105.20,113.80,6,3,325.00,
500024,ASSAMCO     ,B ,Q,4.45,4.55,4.36,4.38,4.38,4.56,277,176322,778036.00,
500027,ATUL LTD.   ,A ,Q,1280.00,1330.00,1255.00,1279.35,1279.35,1274.85,1676,8887,11473130.00,
500028,ATV PROJECTS,T ,Q,3.16,3.16,3.16,3.16,3.16,3.01,26,3680,11628.00,
500029,AUTOLITE(I) ,B ,Q,37.15,38.50,37.15,38.20,38.20,39.50,18,496,18925.00,
500031,BAJAJ ELECT.,A ,Q,243.95,244.95,238.05,239.00,239.00,243.60,2056,54589,13142893.00,
500032,BAJAJHIND   ,B ,Q,16.90,17.53,16.60,16.68,16.68,16.49,1797,426237,7217742.00,
