SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1394.45,1431.85,1383.65,1393.65,1393.65,1392.45,2837,21542,30368012.00,
500003,AEGIS LOGIS ,B ,Q,756.00,770.00,738.00,742.00,742.00,746.25,2805,25310,19038624.00,
500008,AMAR RAJA BA,A ,Q,877.70,888.00,856.00,863.70,863.70,877.60,1545,10036,8798761.00,
500009,A.SARABHAI  ,B ,Q,5.01,5.30,5.01,5.11,5.04,5.30,59,18515,95323.00,
500010,HDFC        ,A ,Q,1310.90,1312.10,1280.20,1291.40,1294.25,1303.90,5423,50231,64891161.00,
500012,ANDHRA PETRO,B ,Q,12.16,12.50,12.12,12.25,12.45,12.16,202,114595,1402253.00,
500013,ANSAL INFRAS,B ,Q,27.05,27.65,26.25,26.50,26.30,26.95,434,51414,1378842.00,
500014,APPLE FINANC,B ,Q,2.21,2.40,2.21,2.23,2.22,2.19,40,8108,18433.00,
500020,BOM DYEING  ,B ,Q,73.30,73.55,71.10,71.60,71.60,73.00,4170,457820,33162734.00,
500023,ASIANHOTNR  ,B ,Q,110.00,114.00,108.20,113.80,114.00,108.00,26,1108,122459.00,
500024,ASSAMCO     ,B ,Q,4.50,4.62,4.50,4.56,4.50,4.54,325,227389,1041125.00,
500027,ATUL LTD.   ,A ,Q,1190.00,1298.95,1187.85,1274.85,1274.85,1183.45,2609,15738,19896204.00,
500028,ATV PROJECTS,T ,Q,3.01,3.01,3.01,3.01,3.01,2.87,34,10478,31538.00,
500029,AUTOLITE(I) ,B ,Q,36.60,39.80,36.60,39.50,39.50,38.65,36,3495,136862.00,
500031,BAJAJ ELECT.,A ,Q,240.30,250.00,240.30,243.60,243.60,239.35,4255,106174,26021767.00,
500032,BAJAJHIND   ,B ,Q,17.00,17.00,16.35,16.49,16.49,16.66,981,224890,3742544.00,
500033,FORCE MOTR  ,B ,Q,1616.50,1791.00,1608.00,1717.00,1717.00,1605.75,35351,488986,843425716.00,
500034,BAJFINANCE  ,A ,Q,4425.10,4470.00,4370.90,4448.95,4421.35,4457.45,568,1975,8719850.00,
500038,BALRAM.CHINI,A ,Q,50.05,50.40,49.80,49.95,49.95,50.00,1326,803845,40211852.00,
500039,BANCO PROD. ,B ,Q,120.00,138.10,120.00,135.30,135.30,121.00,4497,154084,20607695.00,
500040,CENTURY TEXT,A ,Q,784.00,784.00,743.00,749.55,749.55,785.80,9815,224722,171928663.00,
500041,BANNARI AMAN,B ,Q,880.00,880.00,857.50,868.25,857.50,864.00,107,2010,1747079.00,
500042,BASF INDIA  ,B ,Q,1203.00,1338.15,1203.00,1267.90,1267.90,1205.90,8877,42401,54247218.00,
500043,BATA INDIA  ,A ,Q,1170.00,1171.45,1140.00,1147.90,1147.90,1161.20,1326,10172,11750962.00,
500048,BEML LTD    ,A ,Q,1138.05,1140.00,1090.00,1096.10,1096.10,1135.45,4361,32994,36728198.00,
500049,BHARAT ELECT,A ,Q,3463.00,3470.00,3290.00,3331.70,3331.70,3445.55,12723,60189,201210292.00,
