SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1351.25,1400.00,1345.10,1383.35,1383.35,1346.75,4347,28318,39131754.00,
500003,AEGIS LOGIS ,B ,Q,675.00,684.00,658.00,670.25,670.25,668.75,2089,21551,14498209.00,
500008,AMAR RAJA BA,A ,Q,849.25,869.85,844.00,850.90,850.90,848.75,2602,22515,19305808.00,
500009,A.SARABHAI  ,B ,Q,5.70,5.70,5.11,5.32,5.32,5.44,86,19355,104055.00,
500010,HDFC        ,A ,Q,1328.00,1335.00,1297.15,1299.15,1299.15,1328.70,6075,86332,112811701.00,
500012,ANDHRA PETRO,B ,Q,12.25,12.50,12.00,12.27,12.22,12.03,285,50427,619263.00,
500013,ANSAL INFRAS,B ,Q,25.50,26.70,25.10,26.00,26.00,25.40,728,67175,1747024.00,
500014,APPLE FINANC,B ,Q,2.33,2.40,2.22,2.25,2.24,2.13,44,19000,44308.00,
500020,BOM DYEING  ,B ,Q,71.00,73.15,70.60,70.95,70.95,69.50,7287,705685,50705083.00,
500023,ASIANHOTNR  ,B ,Q,102.10,110.00,102.00,107.00,107.00,106.90,90,482,51985.00,
500024,ASSAMCO     ,B ,Q,4.24,4.40,4.21,4.32,4.32,4.27,461,345136,1480457.00,
500027,ATUL LTD.   ,A ,Q,1122.95,1135.00,1111.00,1112.60,1112.60,1114.60,559,3838,4300809.00,
500028,ATV PROJECTS,T ,Q,2.49,2.49,2.49,2.49,2.49,2.38,14,3375,8403.00,
500029,AUTOLITE(I) ,B ,Q,39.00,39.70,38.00,38.25,39.55,38.65,60,7240,280646.00,
500031,BAJAJ ELECT.,A ,Q,241.80,247.60,240.55,241.65,241.65,241.00,2497,60876,14830727.00,
500032,BAJAJHIND   ,B ,Q,15.48,17.40,15.48,17.13,17.13,15.30,4066,929379,15570655.00,
500033,FORCE MOTR  ,B ,Q,1515.00,1644.00,1489.25,1595.25,1595.25,1513.25,24440,305419,485714962.00,
500034,BAJFINANCE  ,A ,Q,4380.00,4545.00,4304.80,4483.25,4483.25,4337.50,976,3424,15127609.00,
500038,BALRAM.CHINI,A ,Q,50.85,54.25,50.85,53.90,53.90,50.55,3499,346472,18386927.00,
500039,BANCO PROD. ,B ,Q,109.90,121.30,109.90,116.90,116.90,110.20,1125,29111,3408366.00,
500040,CENTURY TEXT,A ,Q,734.90,734.90,703.00,707.55,707.55,726.00,9822,190453,136251207.00,
500041,BANNARI AMAN,B ,Q,870.00,900.00,860.50,887.25,889.00,846.50,69,177,157004.00,
500042,BASF INDIA  ,B ,Q,1100.90,1115.30,1075.20,1083.70,1083.05,1104.05,1059,3442,3744204.00,
500043,BATA INDIA  ,A ,Q,1145.00,1145.00,1120.90,1129.50,1127.05,1132.50,1315,22536,25446397.00,
500048,BEML LTD    ,A ,Q,1165.00,1181.90,1152.00,1159.35,1159.35,1159.75,6543,64349,75133722.00,
500049,BHARAT ELECT,A ,Q,3598.00,3723.50,3567.00,3678.35,3678.35,3588.75,8591,37188,136009956.00,
500051,BHAG GAS    ,Z ,Q,0.98,0.98,0.98,0.98,0.98,0.94,6,1000,980.00,
500052,BHANSALI ENG,B ,Q,21.35,22.00,21.00,21.75,21.40,21.85,118,70513,1485188.00,
500055,BHUSH STEEL ,A ,Q,62.95,73.85,61.90,70.60,70.60,62.55,18733,1261432,87994117.00,
500057,ABCIL       ,B ,Q,230.00,230.00,228.10,228.60,228.60,228.30,77,3923,900436.00,
500058,BIHAR SPONGE,T ,Q,2.45,2.55,2.45,2.54,2.55,2.44,28,2511,6301.00,
500059,BINANI IND. ,B ,Q,97.30,101.80,97.30,98.95,98.25,96.70,526,22552,2249374.00,
500060,BIRLA ERIC. ,T ,Q,56.00,57.95,55.50,56.70,57.60,55.80,51,3542,202073.00,
500067,BLUE STAR   ,B ,Q,314.00,334.90,314.00,322.40,322.40,310.85,2316,28102,9147739.00,
500068,DISA INDIA  ,B ,Q,4835.00,4999.00,4835.00,4987.00,4990.00,4827.00,48,88,431300.00,
500069,BNK CAPITAL ,B ,Q,39.00,39.00,37.10,37.10,37.10,39.00,5,12,466.00,
500074,BPL LTD.    ,B ,Q,33.75,35.40,33.50,33.75,33.75,33.60,1365,115048,3923073.00,
500078,CAMPH.& ALL ,B ,Q,270.00,278.90,266.30,274.20,274.20,263.30,279,12223,3332243.00,
500083,CENTURY EXT ,B ,Q,1.69,1.69,1.40,1.50,1.53,1.45,23,3101,4541.00,
500084,CESC LTD.   ,A ,Q,615.00,622.30,610.00,615.90,615.90,612.30,2104,20361,12561114.00,
500085,CHAMBAL FERT,B ,Q,75.50,77.00,73.75,74.40,74.40,74.85,4199,283180,21343268.00,
500086,EXIDE IND.  ,A ,Q,185.00,187.50,183.50,184.45,184.45,183.45,4669,366842,67841917.00,
500087,CIPLA LTD.  ,A ,Q,730.55,745.50,725.10,736.40,736.40,727.90,8376,263638,194428954.00,
500089,DIC INDIA   ,B ,Q,390.00,390.00,380.00,388.50,388.50,387.00,147,1176,450060.00,
500092,CRISIL LTD  ,A ,Q,2069.00,2119.30,2069.00,2113.25,2108.60,2046.50,462,1504,3150053.00,
500093,CROMPT.GREAV,A ,Q,170.00,177.35,167.40,175.45,175.45,168.45,7869,542733,94348545.00,
500096,DABUR (I)   ,A ,Q,275.70,286.35,274.00,284.60,284.60,274.25,4730,112285,31532594.00,
500097,DALMIASUG   ,B ,Q,18.00,18.90,18.00,18.55,18.55,17.25,30,9906,178664.00,
500101,ARVIND Ltd  ,A ,Q,279.55,287.55,277.00,280.10,280.10,278.75,6804,276928,78211777.00,
500102,BALARPUR IND,B ,Q,14.70,15.25,14.60,15.19,15.14,14.52,906,260026,3882088.00,
500103,BHEL        ,A ,Q,234.50,239.30,234.00,235.80,235.10,233.25,8476,381597,90138174.00,
500104,HIND.PETRO  ,A ,Q,649.00,678.40,642.00,672.60,672.60,643.50,14455,313613,209803279.00,
500106,IFCI LTD    ,A ,Q,34.00,35.30,33.90,34.80,34.80,33.85,3225,1010155,35150029.00,
500108,MAHA.TELE   ,B ,Q,19.80,20.25,19.65,19.85,19.75,19.70,1750,296678,5911886.00,
500109,MRPL        ,A ,Q,73.50,73.90,71.90,72.50,72.50,72.90,1180,65793,4793877.00,
500110,CHENNAI PET.,B ,Q,73.25,74.90,72.95,73.85,73.70,73.05,1301,74821,5537229.00,
500111,REL.CAP.    ,A ,Q,439.20,444.40,432.65,436.50,436.50,437.60,16463,498111,218327102.00,
500112,STATE BANK  ,A ,Q,271.80,277.00,271.80,273.60,273.60,271.90,20356,948936,260134147.00,
500113,STEEL AUTH. ,A ,Q,73.00,73.15,71.55,72.35,72.20,72.75,3124,407611,29539228.00,
500114,TITAN       ,A ,Q,406.00,411.25,405.50,406.80,406.80,405.45,1943,43325,17678078.00,
500116,IDBI BANK L ,A ,Q,74.10,75.35,73.35,73.60,73.60,74.30,4208,469555,34956273.00,
500117,DCW LTD.    ,B ,Q,17.30,18.95,17.30,18.40,18.40,17.35,2628,921749,16943336.00,
500119,DHAMPUR SUGA,B ,Q,37.80,39.75,37.25,38.35,38.35,37.45,944,82415,3176467.00,
500120,DIAMINES&CHM,B ,Q,26.20,30.90,26.20,30.00,30.00,30.00,21,1079,32051.00,
500123,ELANTAS     ,B ,Q,1171.00,1182.25,1140.00,1148.25,1140.00,1156.00,295,2050,2377569.00,
500124,DR.REDDY'S  ,A ,Q,3681.00,3770.40,3669.10,3755.85,3755.85,3678.45,5229,28515,106144447.00,
500125,E.I.D.PAR   ,A ,Q,173.00,177.20,171.80,172.40,172.40,170.20,637,20543,3569004.00,
500126,MERCK LTD   ,B ,Q,950.00,1004.00,936.25,982.75,982.75,940.75,5483,42618,41737099.00,
500128,ELEC.CASTING,B ,Q,19.15,20.15,18.75,18.85,18.85,18.95,1927,727113,14072438.00,
500132,EMPEE SUGARS,B ,Q,3.48,3.50,3.06,3.25,3.25,3.25,48,13131,43753.00,
500133,ESAB INDIA  ,B ,Q,694.50,694.50,680.00,688.75,690.00,683.75,38,233,160069.00,
500134,ESSAR OIL   ,A ,Q,109.15,111.00,108.25,108.65,108.65,108.85,861,45857,5014906.00,
500135,ESSEL PROP  ,B ,Q,122.30,124.90,122.00,122.60,123.00,122.90,407,19787,2451273.00,
500136,ESTER INDUS.,B ,Q,17.15,17.85,16.50,17.40,17.40,17.50,172,10462,178972.00,
500139,FEDDER.LLYOD,B ,Q,78.30,80.45,76.15,77.05,77.05,78.40,962,39848,3118917.00,
500141,FERRO ALLOYS,B ,Q,4.26,4.84,4.26,4.54,4.54,4.43,231,62857,287673.00,
500142,FGP LTD.    ,B ,Q,1.79,1.79,1.79,1.79,1.79,1.82,4,36,64.00,
500144,FINOL. CABLE,A ,Q,288.35,294.30,287.60,291.80,291.00,287.15,1123,25222,7369630.00,
500147,CMI FPE     ,B ,Q,395.10,405.50,392.00,397.30,397.00,407.70,29,290,114904.00,
500148,UFLEX LTD   ,B ,Q,125.50,128.45,125.50,126.95,126.95,125.50,614,14459,1835786.00,
500150,FOSECO INDIA,B ,Q,1148.00,1148.50,1112.00,1128.75,1117.25,1118.00,161,265,297598.00,
500151,GOLDEN TOB  ,B ,Q,40.25,41.50,40.00,40.10,40.05,40.45,110,6740,273693.00,
500153,GANESH BENZO,B ,Q,9.30,9.30,8.60,8.83,8.81,9.29,65,14487,128780.00,
500155,GARDEN SILK ,B ,Q,26.25,27.65,26.00,26.50,26.40,26.10,310,19132,511316.00,
500159,METROGLOBL  ,B ,Q,63.95,68.00,63.95,68.00,68.00,69.20,12,204,13857.00,
500160,GTL LTD.    ,B ,Q,15.66,16.17,15.20,15.74,15.74,15.62,1018,158924,2478629.00,
500162,PARRYSUGR   ,B ,Q,18.00,18.15,18.00,18.15,18.15,18.00,6,27,488.00,
500163,GODFREY PH  ,B ,Q,460.00,465.65,454.30,459.05,459.75,458.75,337,1836,846842.00,
500164,GODREJ IND  ,A ,Q,363.00,378.90,356.20,371.80,371.80,360.95,3378,53570,19730003.00,
500165,KANSAI NERO ,B ,Q,225.70,233.80,223.75,230.75,233.00,225.65,1292,21800,4954579.00,
500166,GOODRICKE   ,B ,Q,158.50,167.00,155.10,160.40,160.40,156.40,710,42890,6962802.00,
500168,GOODYEAR (I),B ,Q,558.00,572.50,553.50,570.25,570.25,550.50,425,8401,4777997.00,
500170,GTN INDUS   ,B ,Q,8.98,9.50,8.98,9.50,9.50,8.41,12,1005,9316.00,
500171,GHCL LTD    ,B ,Q,64.90,66.25,64.70,65.25,65.00,64.85,454,19985,1309751.00,
500173,GUJ.FLOURO  ,B ,Q,723.20,764.00,717.00,752.10,752.10,717.55,1575,28560,21146890.00,
500174,GUJ.LEASE   ,B ,Q,2.31,2.31,2.31,2.31,2.31,2.20,2,100,231.00,
500179,HCL INFOSYS ,B ,Q,54.45,56.80,54.25,56.35,56.35,54.15,8359,937079,52267750.00,
500180,HDFC BANK   ,A ,Q,1040.00,1041.20,1030.25,1035.70,1035.70,1033.75,3069,35586,36904730.00,
500182,HEROMOTOCO  ,A ,Q,2657.70,2657.70,2600.15,2605.10,2605.10,2640.00,2465,17128,44868452.00,
500183,HIMACHAL FUT,B ,Q,15.65,15.90,15.16,15.36,15.36,15.49,3842,1757711,27432886.00,
500184,HIMADRI CHEM,B ,Q,19.33,22.52,19.33,22.52,22.52,18.77,871,109336,2362795.00,
500185,HIND.CONSTN.,A ,Q,36.10,36.85,35.25,35.60,35.60,35.85,7018,1349245,48687870.00,
500186,HIND.OIL EXP,B ,Q,41.75,42.50,40.80,41.30,41.30,41.35,4953,589963,24536202.00,
