SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1267.10,1275.05,1234.05,1244.45,1244.45,1268.40,1514,9006,11249349.00,
500003,AEGIS LOGIS ,B ,Q,561.10,600.70,561.10,571.30,574.70,577.90,1936,13120,7652353.00,
500008,AMAR RAJA BA,A ,Q,860.00,860.00,836.00,852.10,860.00,858.20,822,7532,6399636.00,
500009,A.SARABHAI  ,B ,Q,3.45,3.70,3.45,3.60,3.70,3.61,27,2316,8229.00,
500010,HDFC        ,A ,Q,1328.00,1347.05,1328.00,1344.25,1344.25,1338.45,8566,214952,288024462.00,
500012,ANDHRA PETRO,B ,Q,10.00,10.00,9.71,9.72,9.72,9.97,125,40684,398572.00,
500013,ANSAL INFRAS,B ,Q,24.00,24.00,23.20,23.30,23.25,23.95,194,13807,324857.00,
500014,APPLE FINANC,B ,Q,2.01,2.30,2.01,2.06,2.06,2.20,14,1948,4231.00,
500020,BOM DYEING  ,B ,Q,67.15,67.60,64.85,65.50,65.50,66.60,2517,223677,14794759.00,
500023,ASIANHOTNR  ,B ,Q,103.00,104.00,102.10,104.00,104.00,106.90,23,160,16556.00,
500024,ASSAMCO     ,B ,Q,4.02,4.12,4.00,4.02,4.02,4.06,414,176390,711912.00,
500027,ATUL LTD.   ,A ,Q,1112.05,1143.65,1072.25,1113.90,1120.70,1116.40,676,3628,3994105.00,
500028,ATV PROJECTS,T ,Q,2.40,2.40,2.40,2.40,2.40,2.50,17,3000,7200.00,
500029,AUTOLITE(I) ,B ,Q,30.85,30.85,26.10,28.70,29.50,29.45,114,7530,215267.00,
500030,AUTORID.FIN ,T ,Q,0.68,0.68,0.68,0.68,0.68,0.71,4,200,136.00,
500031,BAJAJ ELECT.,A ,Q,210.30,213.00,207.90,208.45,208.45,210.45,681,24626,5175614.00,
500032,BAJAJHIND   ,B ,Q,15.15,15.15,14.05,14.15,14.15,15.10,1596,600091,8651361.00,
500033,FORCE MOTR  ,B ,Q,1423.00,1423.75,1370.50,1375.50,1375.50,1415.75,3886,53853,74763048.00,
500034,BAJFINANCE  ,A ,Q,4012.80,4015.00,3951.50,3982.05,3982.05,4003.30,535,19893,79082966.00,
500038,BALRAM.CHINI,A ,Q,52.15,52.15,50.75,51.05,51.20,52.10,3233,48358,2470387.00,
500039,BANCO PROD. ,B ,Q,110.60,113.00,107.90,108.20,107.90,111.30,228,3353,368160.00,
500040,CENTURY TEXT,A ,Q,551.00,578.30,551.00,564.35,564.35,548.55,13841,255614,145614480.00,
500041,BANNARI AMAN,B ,Q,930.00,930.00,905.00,905.00,905.00,937.00,27,200,183009.00,
500042,BASF INDIA  ,B ,Q,1126.10,1126.10,1067.00,1076.50,1067.00,1118.80,1350,7623,8298011.00,
500043,BATA INDIA  ,A ,Q,1175.00,1175.00,1150.10,1161.75,1161.75,1173.20,1276,12248,14240256.00,
500046,BEST&CROMPT.,Z ,Q,3.96,3.96,3.96,3.96,3.96,4.14,2,8550,33858.00,
500048,BEML LTD    ,A ,Q,1057.00,1060.00,1012.95,1043.70,1043.70,1053.70,4104,34133,35371791.00,
500049,BHARAT ELECT,A ,Q,3220.00,3256.45,3167.00,3183.55,3183.55,3188.75,5617,25546,81928725.00,
500051,BHAG GAS    ,Z ,Q,1.13,1.13,1.13,1.13,1.13,1.18,6,447,505.00,
500052,BHANSALI ENG,B ,Q,21.20,21.90,21.20,21.85,21.85,21.55,12,1103,23783.00,
500055,BHUSH STEEL ,A ,Q,79.00,79.80,74.65,75.20,75.20,77.95,2032,111773,8514083.00,
500057,ABCIL       ,B ,Q,216.00,219.50,214.50,217.10,214.50,216.80,139,3269,710366.00,
500058,BIHAR SPONGE,T ,Q,2.47,2.70,2.47,2.63,2.63,2.59,33,4033,9963.00,
500059,BINANI IND. ,B ,Q,94.00,101.00,91.20,94.00,93.70,94.00,2555,98934,9533565.00,
500060,BIRLA ERIC. ,T ,Q,54.70,56.00,53.25,53.35,53.40,55.00,148,22099,1208249.00,
500067,BLUE STAR   ,B ,Q,302.90,307.20,295.00,299.75,299.75,300.40,1467,9473,2842168.00,
500068,DISA INDIA  ,B ,Q,4900.00,5150.00,4900.00,5050.00,5050.00,5018.00,28,21,106971.00,
500069,BNK CAPITAL ,B ,Q,35.20,36.95,35.20,35.50,35.50,36.65,14,2085,74084.00,
500074,BPL LTD.    ,B ,Q,31.35,31.70,29.25,29.65,29.90,30.95,1569,82144,2502498.00,
500078,CAMPH.& ALL ,B ,Q,255.10,264.90,248.00,248.80,248.60,254.50,137,5268,1328570.00,
500083,CENTURY EXT ,B ,Q,1.23,1.36,1.23,1.28,1.28,1.37,37,13371,17459.00,
500084,CESC LTD.   ,A ,Q,597.30,605.80,592.20,600.55,600.55,591.20,2214,28483,17131476.00,
500085,CHAMBAL FERT,B ,Q,65.90,66.10,64.65,65.05,65.45,65.90,609,28152,1837388.00,
500086,EXIDE IND.  ,A ,Q,180.80,181.95,178.00,179.70,179.70,180.95,1923,95061,17110268.00,
500087,CIPLA LTD.  ,A ,Q,702.00,712.20,694.00,701.25,701.25,700.00,5037,115810,81447091.00,
500089,DIC INDIA   ,B ,Q,349.40,349.40,340.50,342.50,349.30,342.60,220,3710,1271151.00,
500092,CRISIL LTD  ,A ,Q,2010.00,2060.00,1982.60,2023.05,2029.35,2002.75,483,1768,3539274.00,
500093,CROMPT.GREAV,A ,Q,165.25,166.50,161.80,163.90,163.90,164.35,3581,273132,44822805.00,
500096,DABUR (I)   ,A ,Q,265.90,272.25,265.90,269.10,268.85,265.80,4099,72254,19488450.00,
500097,DALMIASUG   ,B ,Q,16.55,17.25,16.50,17.10,17.25,16.90,21,2607,43546.00,
