SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1385.00,1395.95,1330.00,1360.30,1359.00,1374.95,1707,8404,11469436.00,
500003,AEGIS LOGIS ,B ,Q,696.75,708.25,681.00,685.75,685.75,690.00,753,4276,2965965.00,
500008,AMAR RAJA BA,A ,Q,830.00,830.00,807.65,816.20,813.65,823.25,897,8024,6559268.00,
500009,A.SARABHAI  ,B ,Q,4.46,4.95,4.46,4.59,4.61,4.46,24,1599,7276.00,
500010,HDFC        ,A ,Q,1167.00,1200.00,1161.10,1185.35,1185.35,1154.60,9805,166976,198398694.00,
500012,ANDHRA PETRO,B ,Q,12.75,12.98,12.62,12.78,12.77,12.73,122,26375,337650.00,
500013,ANSAL INFRAS,B ,Q,22.60,22.95,22.50,22.60,22.50,22.15,164,12939,294652.00,
500014,APPLE FINANC,B ,Q,1.75,1.75,1.61,1.67,1.62,1.72,59,16557,28093.00,
500020,BOM DYEING  ,B ,Q,66.00,66.50,65.00,65.65,65.65,65.00,1332,117292,7701135.00,
500023,ASIANHOTNR  ,B ,Q,96.20,99.90,95.00,95.80,97.00,96.60,26,1904,186743.00,
500024,ASSAMCO     ,B ,Q,4.02,4.05,3.95,3.97,3.96,3.89,121,85534,342132.00,
500027,ATUL LTD.   ,A ,Q,1134.00,1185.90,1134.00,1174.50,1174.50,1121.60,506,2823,3291388.00,
500028,ATV PROJECTS,T ,Q,3.21,3.39,3.21,3.21,3.21,3.37,19,2601,8439.00,
500030,AUTORID.FIN ,T ,Q,0.75,0.75,0.75,0.75,0.75,0.78,12,1000,750.00,
500031,BAJAJ ELECT.,A ,Q,234.00,240.00,232.45,235.70,235.70,231.90,1981,37744,8943956.00,
500032,BAJAJHIND   ,B ,Q,15.25,15.45,15.15,15.30,15.30,15.05,923,227865,3486694.00,
500033,FORCE MOTR  ,B ,Q,1614.00,1638.75,1576.50,1586.25,1586.25,1584.00,7492,73477,117787370.00,
500034,BAJFINANCE  ,A ,Q,4214.00,4355.80,4202.65,4340.95,4340.95,4184.80,883,2068,8812914.00,
500038,BALRAM.CHINI,A ,Q,42.50,43.00,41.50,41.75,41.65,42.40,597,46667,1963659.00,
500039,BANCO PROD. ,B ,Q,124.00,131.20,122.00,124.20,123.50,122.70,455,7313,916727.00,
500040,CENTURY TEXT,A ,Q,632.00,648.80,620.50,637.80,637.80,616.20,18129,381209,241302418.00,
