SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1374.00,1388.00,1342.15,1362.40,1342.15,1364.05,1197,6158,8448165.00,
500003,AEGIS LOGIS ,B ,Q,720.00,729.50,697.00,701.00,701.00,711.00,2037,14498,10344528.00,
500008,AMAR RAJA BA,A ,Q,835.00,837.80,818.50,829.00,830.80,832.90,896,8876,7334624.00,
500009,A.SARABHAI  ,B ,Q,4.99,5.09,4.90,4.95,4.95,4.85,20,3508,17478.00,
500010,HDFC        ,A ,Q,1277.00,1296.10,1267.55,1276.00,1276.00,1279.25,7738,148361,189844485.00,
500012,ANDHRA PETRO,B ,Q,13.75,13.89,13.40,13.45,13.45,13.78,260,53352,723476.00,
500013,ANSAL INFRAS,B ,Q,24.25,24.70,24.15,24.20,24.20,24.15,214,16310,397304.00,
500014,APPLE FINANC,B ,Q,2.07,2.20,2.07,2.10,2.10,2.14,31,6580,13937.00,
500020,BOM DYEING  ,B ,Q,69.35,70.25,67.70,68.30,68.30,68.70,2819,267384,18405140.00,
500023,ASIANHOTNR  ,B ,Q,104.00,105.00,102.00,102.40,102.10,107.60,33,450,46252.00,
500024,ASSAMCO     ,B ,Q,4.15,4.30,4.13,4.16,4.13,4.20,184,121262,506311.00,
500027,ATUL LTD.   ,A ,Q,1300.00,1312.60,1284.10,1290.55,1290.55,1292.60,368,1809,2343222.00,
500028,ATV PROJECTS,T ,Q,4.01,4.01,3.67,3.69,3.67,3.82,136,72801,289161.00,
500029,AUTOLITE(I) ,B ,Q,40.20,40.20,37.00,37.90,37.55,37.80,13,1255,46938.00,
500030,AUTORID.FIN ,T ,Q,0.67,0.67,0.67,0.67,0.67,0.64,4,900,603.00,
500031,BAJAJ ELECT.,A ,Q,241.65,243.00,236.00,238.95,239.55,240.35,1992,46069,11003199.00,
500032,BAJAJHIND   ,B ,Q,16.20,16.95,16.05,16.33,16.33,16.10,1943,372453,6133845.00,
500033,FORCE MOTR  ,B ,Q,1710.00,1749.00,1680.50,1693.75,1693.75,1678.75,11793,147297,253527764.00,
500034,BAJFINANCE  ,A ,Q,4311.35,4311.35,4253.00,4281.30,4281.30,4266.45,566,1213,5183003.00,
500038,BALRAM.CHINI,A ,Q,48.00,49.85,47.40,48.40,48.00,48.00,1359,107633,5263002.00,
500039,BANCO PROD. ,B ,Q,135.00,145.00,130.00,131.10,130.00,132.70,570,12105,1622982.00,
500040,CENTURY TEXT,A ,Q,739.00,749.00,727.00,733.65,733.65,736.40,15836,308484,227382771.00,
500041,BANNARI AMAN,B ,Q,846.00,860.00,846.00,860.00,860.00,871.25,6,15,12830.00,
500042,BASF INDIA  ,B ,Q,1223.00,1235.00,1192.35,1210.30,1210.30,1190.70,1163,5224,6327066.00,
500043,BATA INDIA  ,A ,Q,1009.00,1044.90,1009.00,1021.95,1021.95,1005.55,3423,33177,34167891.00,
500048,BEML LTD    ,A ,Q,1028.10,1040.00,1006.55,1027.35,1027.35,1026.70,4039,31852,32703556.00,
500049,BHARAT ELECT,A ,Q,3208.00,3249.95,3180.00,3188.50,3188.50,3187.55,6029,28656,92113680.00,
500051,BHAG GAS    ,Z ,Q,1.17,1.17,1.07,1.07,1.07,1.12,19,11400,13198.00,
500052,BHANSALI ENG,B ,Q,18.60,19.80,18.45,18.45,18.80,19.35,38,5216,96938.00,
500055,BHUSH STEEL ,A ,Q,67.00,68.60,66.10,66.40,66.40,65.60,2875,148292,9960880.00,
500057,ABCIL       ,B ,Q,220.00,220.00,216.00,216.10,216.10,219.20,32,1700,370425.00,
500058,BIHAR SPONGE,T ,Q,3.13,3.13,2.88,3.00,3.00,3.03,38,9770,28523.00,
500059,BINANI IND. ,B ,Q,101.95,103.40,99.50,100.05,100.05,100.75,479,13599,1379367.00,
500060,BIRLA ERIC. ,T ,Q,63.85,66.00,63.50,65.90,66.00,64.80,132,13509,879786.00,
